pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gogoat,243,move,1,Horn Leech,75.0%,,,,,,,,
Gogoat,243,move,2,Bulk Up,50.5%,,,,,,,,
Gogoat,243,move,3,Milk Drink,46.4%,,,,,,,,
Gogoat,243,move,4,Leech Seed,45.6%,,,,,,,,
Gogoat,243,move,5,Earthquake,38.0%,,,,,,,,
Gogoat,243,move,6,Play Rough,18.5%,,,,,,,,
Gogoat,243,move,7,Endeavor,13.4%,,,,,,,,
Gogoat,243,move,8,Bulldoze,12.8%,,,,,,,,
Gogoat,243,move,9,Leaf Blade,11.5%,,,,,,,,
Gogoat,243,move,10,Grassy Terrain,10.6%,,,,,,,,
Gogoat,243,held_item,1,Grassy Seed,19.0%,,,,,,,,
Gogoat,243,held_item,2,Leftovers,17.7%,,,,,,,,
Gogoat,243,held_item,3,Sitrus Berry,12.7%,,,,,,,,
Gogoat,243,held_item,4,Big Root,9.6%,,,,,,,,
Gogoat,243,held_item,5,Focus Sash,5.8%,,,,,,,,
Gogoat,243,held_item,6,Rocky Helmet,5.6%,,,,,,,,
Gogoat,243,held_item,7,Expert Belt,3.2%,,,,,,,,
Gogoat,243,held_item,8,Lum Berry,2.2%,,,,,,,,
Gogoat,243,held_item,9,Kebia Berry,1.4%,,,,,,,,
Gogoat,243,held_item,10,Occa Berry,1.3%,,,,,,,,
Gogoat,243,teammate,1,Indeedee,,,,,,,,,
Gogoat,243,teammate,2,Pincurchin,,,,,,,,,
Gogoat,243,teammate,3,Rillaboom,,,,,,,,,
Gogoat,243,teammate,4,Garchomp,,,,,,,,,
Gogoat,243,teammate,5,Baxcalibur,,,,,,,,,
Gogoat,243,teammate,6,Thievul,,,,,,,,,
Gogoat,243,teammate,7,Pikachu,,,,,,,,,
Gogoat,243,teammate,8,Salamence,,,,,,,,,
Gogoat,243,teammate,9,Blastoise,,,,,,,,,
Gogoat,243,teammate,10,Squawkabilly,,,,,,,,,
Gogoat,243,stat_alignment,1,Adamant,38.5%,Attack,Sp. Atk,,,,,,
Gogoat,243,stat_alignment,2,Impish,24.9%,Defense,Sp. Atk,,,,,,
Gogoat,243,stat_alignment,3,Naughty,12.7%,Attack,Sp. Def,,,,,,
Gogoat,243,stat_alignment,4,Careful,11.1%,Sp. Def,Sp. Atk,,,,,,
Gogoat,243,stat_alignment,5,Jolly,4.4%,Speed,Sp. Atk,,,,,,
Gogoat,243,stat_alignment,6,Brave,3.8%,Attack,Speed,,,,,,
Gogoat,243,stat_alignment,7,Bold,1.7%,Defense,Attack,,,,,,
Gogoat,243,stat_alignment,8,Sassy,0.8%,Sp. Def,Speed,,,,,,
Gogoat,243,stat_alignment,9,Relaxed,0.6%,Defense,Speed,,,,,,
Gogoat,243,stat_alignment,10,Hasty,0.5%,Speed,Defense,,,,,,
Gogoat,243,stat_points,1,,18.2%,,,32,32,0,0,0,2
Gogoat,243,stat_points,2,,12.4%,,,32,32,0,0,2,0
Gogoat,243,stat_points,3,,7.5%,,,32,32,2,0,0,0
Gogoat,243,stat_points,4,,4.7%,,,32,0,32,0,0,2
Gogoat,243,stat_points,5,,4.6%,,,32,0,32,0,2,0
Gogoat,243,stat_points,6,,4.3%,,,32,2,31,0,1,0
Gogoat,243,stat_points,7,,3.1%,,,32,2,32,0,0,0
Gogoat,243,stat_points,8,,3.1%,,,2,32,32,0,0,0
Gogoat,243,stat_points,9,,2.6%,,,32,0,2,0,32,0
Gogoat,243,stat_points,10,,2.2%,,,32,32,1,0,1,0
Gogoat,243,ability,1,Sap Sipper,66.1%,,,,,,,,
Gogoat,243,ability,2,Grass Pelt,33.9%,,,,,,,,
