pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Venusaur,63,move,1,Earth Power,78.7%,,,,,,,,
Venusaur,63,move,2,Giga Drain,64.1%,,,,,,,,
Venusaur,63,move,3,Sludge Bomb,55.7%,,,,,,,,
Venusaur,63,move,4,Synthesis,55.1%,,,,,,,,
Venusaur,63,move,5,Leech Seed,44.1%,,,,,,,,
Venusaur,63,move,6,Sludge Wave,26.3%,,,,,,,,
Venusaur,63,move,7,Weather Ball,16.6%,,,,,,,,
Venusaur,63,move,8,Sleep Powder,11.5%,,,,,,,,
Venusaur,63,move,9,Toxic,10.5%,,,,,,,,
Venusaur,63,move,10,Growth,10.0%,,,,,,,,
Venusaur,63,held_item,1,Venusaurite,72.4%,,,,,,,,
Venusaur,63,held_item,2,Life Orb,16.4%,,,,,,,,
Venusaur,63,held_item,3,Leftovers,3.4%,,,,,,,,
Venusaur,63,held_item,4,Sitrus Berry,1.6%,,,,,,,,
Venusaur,63,held_item,5,Big Root,1.0%,,,,,,,,
Venusaur,63,held_item,6,Miracle Seed,0.9%,,,,,,,,
Venusaur,63,held_item,7,Wide Lens,0.7%,,,,,,,,
Venusaur,63,held_item,8,Focus Sash,0.5%,,,,,,,,
Venusaur,63,held_item,9,Rocky Helmet,0.5%,,,,,,,,
Venusaur,63,held_item,10,Expert Belt,0.5%,,,,,,,,
Venusaur,63,teammate,1,Garchomp,,,,,,,,,
Venusaur,63,teammate,2,Primarina,,,,,,,,,
Venusaur,63,teammate,3,Skeledirge,,,,,,,,,
Venusaur,63,teammate,4,Salamence,,,,,,,,,
Venusaur,63,teammate,5,Charizard,,,,,,,,,
Venusaur,63,teammate,6,Corviknight,,,,,,,,,
Venusaur,63,teammate,7,Baxcalibur,,,,,,,,,
Venusaur,63,teammate,8,Umbreon,,,,,,,,,
Venusaur,63,teammate,9,Archaludon,,,,,,,,,
Venusaur,63,teammate,10,Mimikyu,,,,,,,,,
Venusaur,63,stat_alignment,1,Modest,38.8%,Sp. Atk,Attack,,,,,,
Venusaur,63,stat_alignment,2,Bold,28.7%,Defense,Attack,,,,,,
Venusaur,63,stat_alignment,3,Calm,26.6%,Sp. Def,Attack,,,,,,
Venusaur,63,stat_alignment,4,Timid,3.9%,Speed,Attack,,,,,,
Venusaur,63,stat_alignment,5,Quiet,0.5%,Sp. Atk,Speed,,,,,,
Venusaur,63,stat_alignment,6,Relaxed,0.2%,Defense,Speed,,,,,,
Venusaur,63,stat_alignment,7,Lax,0.2%,Defense,Sp. Def,,,,,,
Venusaur,63,stat_alignment,8,Mild,0.2%,Sp. Atk,Defense,,,,,,
Venusaur,63,stat_alignment,9,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Venusaur,63,stat_alignment,10,Sassy,0.2%,Sp. Def,Speed,,,,,,
Venusaur,63,stat_points,1,,10.9%,,,32,0,32,0,2,0
Venusaur,63,stat_points,2,,9.7%,,,2,0,0,32,0,32
Venusaur,63,stat_points,3,,7.9%,,,32,0,2,0,32,0
Venusaur,63,stat_points,4,,4.1%,,,32,0,2,32,0,0
Venusaur,63,stat_points,5,,3.6%,,,32,0,0,32,0,2
Venusaur,63,stat_points,6,,3.5%,,,32,0,27,0,7,0
Venusaur,63,stat_points,7,,2.4%,,,32,0,0,32,2,0
Venusaur,63,stat_points,8,,2.3%,,,32,0,0,2,32,0
Venusaur,63,stat_points,9,,1.7%,,,0,0,2,32,0,32
Venusaur,63,stat_points,10,,1.4%,,,32,0,0,0,32,2
Venusaur,63,ability,1,Chlorophyll,73.6%,,,,,,,,
Venusaur,63,ability,2,Overgrow,26.4%,,,,,,,,
