pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Slowbro-Galar,137,move,1,Shell Side Arm,86.8%,,,,,,,,
Slowbro-Galar,137,move,2,Ice Beam,43.0%,,,,,,,,
Slowbro-Galar,137,move,3,Expanding Force,40.6%,,,,,,,,
Slowbro-Galar,137,move,4,Psychic,37.0%,,,,,,,,
Slowbro-Galar,137,move,5,Flamethrower,31.6%,,,,,,,,
Slowbro-Galar,137,move,6,Protect,30.3%,,,,,,,,
Slowbro-Galar,137,move,7,Trick Room,24.5%,,,,,,,,
Slowbro-Galar,137,move,8,Power Gem,11.3%,,,,,,,,
Slowbro-Galar,137,move,9,Fire Blast,10.7%,,,,,,,,
Slowbro-Galar,137,move,10,Focus Blast,10.4%,,,,,,,,
Slowbro-Galar,137,held_item,1,Quick Claw,65.0%,,,,,,,,
Slowbro-Galar,137,held_item,2,Sitrus Berry,7.9%,,,,,,,,
Slowbro-Galar,137,held_item,3,Life Orb,5.4%,,,,,,,,
Slowbro-Galar,137,held_item,4,Leftovers,5.2%,,,,,,,,
Slowbro-Galar,137,held_item,5,Colbur Berry,2.6%,,,,,,,,
Slowbro-Galar,137,held_item,6,Psychic Seed,2.2%,,,,,,,,
Slowbro-Galar,137,held_item,7,Focus Sash,2.2%,,,,,,,,
Slowbro-Galar,137,held_item,8,Expert Belt,1.7%,,,,,,,,
Slowbro-Galar,137,held_item,9,Poison Barb,1.7%,,,,,,,,
Slowbro-Galar,137,held_item,10,Shuca Berry,0.9%,,,,,,,,
Slowbro-Galar,137,teammate,1,Indeedee-F,,,,,,,,,
Slowbro-Galar,137,teammate,2,Rillaboom,,,,,,,,,
Slowbro-Galar,137,teammate,3,Golisopod,,,,,,,,,
Slowbro-Galar,137,teammate,4,Farigiraf,,,,,,,,,
Slowbro-Galar,137,teammate,5,Incineroar,,,,,,,,,
Slowbro-Galar,137,teammate,6,Milotic,,,,,,,,,
Slowbro-Galar,137,teammate,7,Sneasler,,,,,,,,,
Slowbro-Galar,137,teammate,8,Salamence,,,,,,,,,
Slowbro-Galar,137,teammate,9,Garchomp,,,,,,,,,
Slowbro-Galar,137,teammate,10,Kingambit,,,,,,,,,
Slowbro-Galar,137,stat_alignment,1,Quiet,48.8%,Sp. Atk,Speed,,,,,,
Slowbro-Galar,137,stat_alignment,2,Modest,22.2%,Sp. Atk,Attack,,,,,,
Slowbro-Galar,137,stat_alignment,3,Sassy,9.2%,Sp. Def,Speed,,,,,,
Slowbro-Galar,137,stat_alignment,4,Relaxed,5.3%,Defense,Speed,,,,,,
Slowbro-Galar,137,stat_alignment,5,Bold,4.3%,Defense,Attack,,,,,,
Slowbro-Galar,137,stat_alignment,6,Brave,2.6%,Attack,Speed,,,,,,
Slowbro-Galar,137,stat_alignment,7,Calm,2.4%,Sp. Def,Attack,,,,,,
Slowbro-Galar,137,stat_alignment,8,Mild,1.9%,Sp. Atk,Defense,,,,,,
Slowbro-Galar,137,stat_alignment,9,Gentle,1.0%,Sp. Def,Defense,,,,,,
Slowbro-Galar,137,stat_alignment,10,Adamant,0.7%,Attack,Sp. Atk,,,,,,
Slowbro-Galar,137,stat_points,1,,25.5%,,,32,0,0,32,2,0
Slowbro-Galar,137,stat_points,2,,12.4%,,,32,0,2,32,0,0
Slowbro-Galar,137,stat_points,3,,5.1%,,,0,0,2,32,32,0
Slowbro-Galar,137,stat_points,4,,4.1%,,,2,0,0,32,32,0
Slowbro-Galar,137,stat_points,5,,3.2%,,,31,0,2,32,1,0
Slowbro-Galar,137,stat_points,6,,2.5%,,,2,0,32,32,0,0
Slowbro-Galar,137,stat_points,7,,2.2%,,,9,0,0,32,25,0
Slowbro-Galar,137,stat_points,8,,1.8%,,,32,0,0,32,0,0
Slowbro-Galar,137,stat_points,9,,1.7%,,,32,0,0,32,0,2
Slowbro-Galar,137,stat_points,10,,1.3%,,,0,0,32,32,2,0
Slowbro-Galar,137,ability,1,Quick Draw,88.0%,,,,,,,,
Slowbro-Galar,137,ability,2,Regenerator,9.7%,,,,,,,,
Slowbro-Galar,137,ability,3,Own Tempo,2.3%,,,,,,,,
