pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Perrserker,144,move,1,Iron Head,87.5%,,,,,,,,
Perrserker,144,move,2,Fake Out,81.9%,,,,,,,,
Perrserker,144,move,3,Protect,48.6%,,,,,,,,
Perrserker,144,move,4,Helping Hand,45.1%,,,,,,,,
Perrserker,144,move,5,Close Combat,32.5%,,,,,,,,
Perrserker,144,move,6,Knock Off,17.5%,,,,,,,,
Perrserker,144,move,7,U-turn,12.4%,,,,,,,,
Perrserker,144,move,8,Taunt,9.7%,,,,,,,,
Perrserker,144,move,9,Play Rough,8.9%,,,,,,,,
Perrserker,144,move,10,Gyro Ball,5.9%,,,,,,,,
Perrserker,144,held_item,1,Focus Sash,27.3%,,,,,,,,
Perrserker,144,held_item,2,Chople Berry,11.5%,,,,,,,,
Perrserker,144,held_item,3,Metal Coat,10.9%,,,,,,,,
Perrserker,144,held_item,4,Sitrus Berry,9.6%,,,,,,,,
Perrserker,144,held_item,5,Life Orb,8.3%,,,,,,,,
Perrserker,144,held_item,6,Occa Berry,5.2%,,,,,,,,
Perrserker,144,held_item,7,Leftovers,5.0%,,,,,,,,
Perrserker,144,held_item,8,Rocky Helmet,4.2%,,,,,,,,
Perrserker,144,held_item,9,Iron Ball,2.6%,,,,,,,,
Perrserker,144,held_item,10,Quick Claw,2.1%,,,,,,,,
Perrserker,144,teammate,1,Gholdengo,,,,,,,,,
Perrserker,144,teammate,2,Rillaboom,,,,,,,,,
Perrserker,144,teammate,3,Pelipper,,,,,,,,,
Perrserker,144,teammate,4,Golisopod,,,,,,,,,
Perrserker,144,teammate,5,Lucario,,,,,,,,,
Perrserker,144,teammate,6,Metagross,,,,,,,,,
Perrserker,144,teammate,7,Indeedee-F,,,,,,,,,
Perrserker,144,teammate,8,Salamence,,,,,,,,,
Perrserker,144,teammate,9,Basculegion,,,,,,,,,
Perrserker,144,teammate,10,Garchomp,,,,,,,,,
Perrserker,144,stat_alignment,1,Adamant,41.0%,Attack,Sp. Atk,,,,,,
Perrserker,144,stat_alignment,2,Brave,23.3%,Attack,Speed,,,,,,
Perrserker,144,stat_alignment,3,Impish,13.2%,Defense,Sp. Atk,,,,,,
Perrserker,144,stat_alignment,4,Careful,9.2%,Sp. Def,Sp. Atk,,,,,,
Perrserker,144,stat_alignment,5,Jolly,5.6%,Speed,Sp. Atk,,,,,,
Perrserker,144,stat_alignment,6,Sassy,3.4%,Sp. Def,Speed,,,,,,
Perrserker,144,stat_alignment,7,Relaxed,2.4%,Defense,Speed,,,,,,
Perrserker,144,stat_alignment,8,Naughty,1.0%,Attack,Sp. Def,,,,,,
Perrserker,144,stat_alignment,9,Calm,0.3%,Sp. Def,Attack,,,,,,
Perrserker,144,stat_alignment,10,Timid,0.2%,Speed,Attack,,,,,,
Perrserker,144,stat_points,1,,19.6%,,,32,32,0,0,2,0
Perrserker,144,stat_points,2,,10.0%,,,32,0,2,0,32,0
Perrserker,144,stat_points,3,,9.6%,,,32,32,2,0,0,0
Perrserker,144,stat_points,4,,7.5%,,,2,32,0,0,0,32
Perrserker,144,stat_points,5,,4.2%,,,32,0,32,0,2,0
Perrserker,144,stat_points,6,,3.0%,,,2,32,0,0,32,0
Perrserker,144,stat_points,7,,2.6%,,,32,32,0,0,0,2
Perrserker,144,stat_points,8,,2.1%,,,2,32,32,0,0,0
Perrserker,144,stat_points,9,,1.7%,,,30,32,0,0,0,4
Perrserker,144,stat_points,10,,1.6%,,,32,2,32,0,0,0
Perrserker,144,ability,1,Steely Spirit,88.0%,,,,,,,,
Perrserker,144,ability,2,Tough Claws,11.1%,,,,,,,,
Perrserker,144,ability,3,Battle Armor,0.9%,,,,,,,,
