pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom-Fan,250,move,1,Air Slash,84.6%,,,,,,,,
Rotom-Fan,250,move,2,Will-O-Wisp,54.3%,,,,,,,,
Rotom-Fan,250,move,3,Thunderbolt,52.3%,,,,,,,,
Rotom-Fan,250,move,4,Volt Switch,37.6%,,,,,,,,
Rotom-Fan,250,move,5,Protect,27.2%,,,,,,,,
Rotom-Fan,250,move,6,Electroweb,22.0%,,,,,,,,
Rotom-Fan,250,move,7,Shadow Ball,19.9%,,,,,,,,
Rotom-Fan,250,move,8,Discharge,15.6%,,,,,,,,
Rotom-Fan,250,move,9,Nasty Plot,11.8%,,,,,,,,
Rotom-Fan,250,move,10,Dark Pulse,11.4%,,,,,,,,
Rotom-Fan,250,held_item,1,Sitrus Berry,28.5%,,,,,,,,
Rotom-Fan,250,held_item,2,Choice Scarf,12.6%,,,,,,,,
Rotom-Fan,250,held_item,3,Leftovers,11.7%,,,,,,,,
Rotom-Fan,250,held_item,4,Life Orb,6.8%,,,,,,,,
Rotom-Fan,250,held_item,5,Quick Claw,5.4%,,,,,,,,
Rotom-Fan,250,held_item,6,Rocky Helmet,5.3%,,,,,,,,
Rotom-Fan,250,held_item,7,Magnet,3.6%,,,,,,,,
Rotom-Fan,250,held_item,8,Shell Bell,3.6%,,,,,,,,
Rotom-Fan,250,held_item,9,Light Clay,3.2%,,,,,,,,
Rotom-Fan,250,held_item,10,Focus Sash,2.7%,,,,,,,,
Rotom-Fan,250,teammate,1,Garchomp,,,,,,,,,
Rotom-Fan,250,teammate,2,Sneasler,,,,,,,,,
Rotom-Fan,250,teammate,3,Armarouge,,,,,,,,,
Rotom-Fan,250,teammate,4,Milotic,,,,,,,,,
Rotom-Fan,250,teammate,5,Tyranitar,,,,,,,,,
Rotom-Fan,250,teammate,6,Whimsicott,,,,,,,,,
Rotom-Fan,250,teammate,7,Primarina,,,,,,,,,
Rotom-Fan,250,teammate,8,Archaludon,,,,,,,,,
Rotom-Fan,250,teammate,9,Mawile,,,,,,,,,
Rotom-Fan,250,teammate,10,Golisopod,,,,,,,,,
Rotom-Fan,250,stat_alignment,1,Modest,38.1%,Sp. Atk,Attack,,,,,,
Rotom-Fan,250,stat_alignment,2,Timid,31.1%,Speed,Attack,,,,,,
Rotom-Fan,250,stat_alignment,3,Quiet,9.9%,Sp. Atk,Speed,,,,,,
Rotom-Fan,250,stat_alignment,4,Bold,8.9%,Defense,Attack,,,,,,
Rotom-Fan,250,stat_alignment,5,Calm,5.3%,Sp. Def,Attack,,,,,,
Rotom-Fan,250,stat_alignment,6,Serious,3.3%,,,,,,,,
Rotom-Fan,250,stat_alignment,7,Lax,1.8%,Defense,Sp. Def,,,,,,
Rotom-Fan,250,stat_alignment,8,Mild,1.5%,Sp. Atk,Defense,,,,,,
Rotom-Fan,250,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Rotom-Fan,250,stat_points,1,,14.8%,,,2,0,0,32,0,32
Rotom-Fan,250,stat_points,2,,10.5%,,,0,0,2,32,0,32
Rotom-Fan,250,stat_points,3,,10.1%,,,32,0,0,32,2,0
Rotom-Fan,250,stat_points,4,,5.6%,,,4,0,3,31,3,25
Rotom-Fan,250,stat_points,5,,5.1%,,,0,0,0,32,2,32
Rotom-Fan,250,stat_points,6,,4.7%,,,32,0,0,32,0,2
Rotom-Fan,250,stat_points,7,,4.3%,,,32,0,1,32,1,0
Rotom-Fan,250,stat_points,8,,4.3%,,,32,0,2,32,0,0
Rotom-Fan,250,stat_points,9,,3.7%,,,0,0,32,32,0,2
Rotom-Fan,250,stat_points,10,,3.3%,,,32,0,13,0,21,0
Rotom-Fan,250,ability,1,Levitate,100.0%,,,,,,,,
