pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Slurpuff,213,move,1,Dazzling Gleam,69.1%,,,,,,,,
Slurpuff,213,move,2,Protect,43.6%,,,,,,,,
Slurpuff,213,move,3,Flamethrower,32.2%,,,,,,,,
Slurpuff,213,move,4,After You,31.2%,,,,,,,,
Slurpuff,213,move,5,Calm Mind,25.2%,,,,,,,,
Slurpuff,213,move,6,String Shot,21.7%,,,,,,,,
Slurpuff,213,move,7,Cotton Guard,20.8%,,,,,,,,
Slurpuff,213,move,8,Fake Tears,19.3%,,,,,,,,
Slurpuff,213,move,9,Charm,19.2%,,,,,,,,
Slurpuff,213,move,10,Draining Kiss,19.0%,,,,,,,,
Slurpuff,213,held_item,1,Psychic Seed,36.1%,,,,,,,,
Slurpuff,213,held_item,2,Sitrus Berry,19.0%,,,,,,,,
Slurpuff,213,held_item,3,Grassy Seed,15.5%,,,,,,,,
Slurpuff,213,held_item,4,Electric Seed,6.9%,,,,,,,,
Slurpuff,213,held_item,5,Quick Claw,5.5%,,,,,,,,
Slurpuff,213,held_item,6,Choice Scarf,5.4%,,,,,,,,
Slurpuff,213,held_item,7,Persim Berry,2.8%,,,,,,,,
Slurpuff,213,held_item,8,Red Card,2.5%,,,,,,,,
Slurpuff,213,held_item,9,Leftovers,1.3%,,,,,,,,
Slurpuff,213,held_item,10,Focus Band,0.8%,,,,,,,,
Slurpuff,213,teammate,1,Rillaboom,,,,,,,,,
Slurpuff,213,teammate,2,Indeedee-F,,,,,,,,,
Slurpuff,213,teammate,3,Indeedee,,,,,,,,,
Slurpuff,213,teammate,4,Charizard,,,,,,,,,
Slurpuff,213,teammate,5,Salamence,,,,,,,,,
Slurpuff,213,teammate,6,Lucario,,,,,,,,,
Slurpuff,213,teammate,7,Incineroar,,,,,,,,,
Slurpuff,213,teammate,8,Basculegion,,,,,,,,,
Slurpuff,213,teammate,9,Golisopod,,,,,,,,,
Slurpuff,213,teammate,10,Gardevoir,,,,,,,,,
Slurpuff,213,stat_alignment,1,Modest,41.6%,Sp. Atk,Attack,,,,,,
Slurpuff,213,stat_alignment,2,Timid,25.5%,Speed,Attack,,,,,,
Slurpuff,213,stat_alignment,3,Calm,12.6%,Sp. Def,Attack,,,,,,
Slurpuff,213,stat_alignment,4,Bold,11.3%,Defense,Attack,,,,,,
Slurpuff,213,stat_alignment,5,Adamant,3.7%,Attack,Sp. Atk,,,,,,
Slurpuff,213,stat_alignment,6,Impish,1.7%,Defense,Sp. Atk,,,,,,
Slurpuff,213,stat_alignment,7,Jolly,1.4%,Speed,Sp. Atk,,,,,,
Slurpuff,213,stat_alignment,8,Sassy,0.8%,Sp. Def,Speed,,,,,,
Slurpuff,213,stat_alignment,9,Quiet,0.5%,Sp. Atk,Speed,,,,,,
Slurpuff,213,stat_alignment,10,Mild,0.4%,Sp. Atk,Defense,,,,,,
Slurpuff,213,stat_points,1,,11.8%,,,32,0,2,32,0,0
Slurpuff,213,stat_points,2,,8.2%,,,32,0,0,0,2,32
Slurpuff,213,stat_points,3,,6.3%,,,32,0,2,0,0,32
Slurpuff,213,stat_points,4,,6.0%,,,0,0,32,32,2,0
Slurpuff,213,stat_points,5,,5.7%,,,2,0,0,32,0,32
Slurpuff,213,stat_points,6,,2.8%,,,2,0,0,32,32,0
Slurpuff,213,stat_points,7,,2.3%,,,2,0,4,32,15,13
Slurpuff,213,stat_points,8,,2.0%,,,14,0,0,32,0,20
Slurpuff,213,stat_points,9,,1.9%,,,2,32,0,0,0,32
Slurpuff,213,stat_points,10,,1.7%,,,27,0,4,0,15,20
Slurpuff,213,ability,1,Unburden,80.3%,,,,,,,,
Slurpuff,213,ability,2,Sweet Veil,19.7%,,,,,,,,
