pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hawlucha,125,move,1,Entrainment,46.7%,,,,,,,,
Hawlucha,125,move,2,Close Combat,46.6%,,,,,,,,
Hawlucha,125,move,3,Detect,39.8%,,,,,,,,
Hawlucha,125,move,4,Acrobatics,36.7%,,,,,,,,
Hawlucha,125,move,5,Protect,33.7%,,,,,,,,
Hawlucha,125,move,6,Brave Bird,32.9%,,,,,,,,
Hawlucha,125,move,7,High Jump Kick,19.4%,,,,,,,,
Hawlucha,125,move,8,Flying Press,15.2%,,,,,,,,
Hawlucha,125,move,9,Rock Slide,12.7%,,,,,,,,
Hawlucha,125,move,10,Dual Wingbeat,12.0%,,,,,,,,
Hawlucha,125,held_item,1,Hawluchanite,54.8%,,,,,,,,
Hawlucha,125,held_item,2,Psychic Seed,12.6%,,,,,,,,
Hawlucha,125,held_item,3,Electric Seed,10.6%,,,,,,,,
Hawlucha,125,held_item,4,Grassy Seed,10.3%,,,,,,,,
Hawlucha,125,held_item,5,White Herb,3.4%,,,,,,,,
Hawlucha,125,held_item,6,Focus Sash,3.2%,,,,,,,,
Hawlucha,125,held_item,7,Rocky Helmet,1.0%,,,,,,,,
Hawlucha,125,held_item,8,Lum Berry,0.9%,,,,,,,,
Hawlucha,125,held_item,9,King's Rock,0.6%,,,,,,,,
Hawlucha,125,held_item,10,Life Orb,0.5%,,,,,,,,
Hawlucha,125,teammate,1,Snorlax,,,,,,,,,
Hawlucha,125,teammate,2,Incineroar,,,,,,,,,
Hawlucha,125,teammate,3,Rillaboom,,,,,,,,,
Hawlucha,125,teammate,4,Sinistcha,,,,,,,,,
Hawlucha,125,teammate,5,Indeedee-F,,,,,,,,,
Hawlucha,125,teammate,6,Raichu,,,,,,,,,
Hawlucha,125,teammate,7,Kingambit,,,,,,,,,
Hawlucha,125,teammate,8,Politoed,,,,,,,,,
Hawlucha,125,teammate,9,Gengar,,,,,,,,,
Hawlucha,125,teammate,10,Indeedee,,,,,,,,,
Hawlucha,125,stat_alignment,1,Jolly,55.7%,Speed,Sp. Atk,,,,,,
Hawlucha,125,stat_alignment,2,Adamant,37.3%,Attack,Sp. Atk,,,,,,
Hawlucha,125,stat_alignment,3,Impish,2.2%,Defense,Sp. Atk,,,,,,
Hawlucha,125,stat_alignment,4,Careful,1.6%,Sp. Def,Sp. Atk,,,,,,
Hawlucha,125,stat_alignment,5,Hasty,0.8%,Speed,Defense,,,,,,
Hawlucha,125,stat_alignment,6,Lonely,0.5%,Attack,Defense,,,,,,
Hawlucha,125,stat_alignment,7,Naive,0.5%,Speed,Sp. Def,,,,,,
Hawlucha,125,stat_alignment,8,Naughty,0.4%,Attack,Sp. Def,,,,,,
Hawlucha,125,stat_alignment,9,Timid,0.4%,Speed,Attack,,,,,,
Hawlucha,125,stat_alignment,10,Brave,0.2%,Attack,Speed,,,,,,
Hawlucha,125,stat_points,1,,32.9%,,,2,32,0,0,0,32
Hawlucha,125,stat_points,2,,10.9%,,,32,0,0,0,2,32
Hawlucha,125,stat_points,3,,6.7%,,,32,2,0,0,0,32
Hawlucha,125,stat_points,4,,3.9%,,,0,32,2,0,0,32
Hawlucha,125,stat_points,5,,3.3%,,,32,0,2,0,0,32
Hawlucha,125,stat_points,6,,3.0%,,,0,32,0,0,2,32
Hawlucha,125,stat_points,7,,2.3%,,,32,32,0,0,0,2
Hawlucha,125,stat_points,8,,1.8%,,,0,32,0,0,0,32
Hawlucha,125,stat_points,9,,1.4%,,,2,32,32,0,0,0
Hawlucha,125,stat_points,10,,1.2%,,,32,32,2,0,0,0
Hawlucha,125,ability,1,Unburden,51.8%,,,,,,,,
Hawlucha,125,ability,2,Mold Breaker,27.3%,,,,,,,,
Hawlucha,125,ability,3,Limber,20.8%,,,,,,,,
