pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pyroar,105,move,1,Heat Wave,97.4%,,,,,,,,
Pyroar,105,move,2,Protect,97.1%,,,,,,,,
Pyroar,105,move,3,Overheat,62.3%,,,,,,,,
Pyroar,105,move,4,Solar Beam,29.8%,,,,,,,,
Pyroar,105,move,5,Hyper Voice,27.2%,,,,,,,,
Pyroar,105,move,6,Scorching Sands,23.6%,,,,,,,,
Pyroar,105,move,7,Flamethrower,16.0%,,,,,,,,
Pyroar,105,move,8,Dark Pulse,11.1%,,,,,,,,
Pyroar,105,move,9,Snarl,8.9%,,,,,,,,
Pyroar,105,move,10,Sunny Day,4.3%,,,,,,,,
Pyroar,105,held_item,1,Pyroarite,97.4%,,,,,,,,
Pyroar,105,held_item,2,Charcoal,0.7%,,,,,,,,
Pyroar,105,held_item,3,Life Orb,0.7%,,,,,,,,
Pyroar,105,held_item,4,Focus Sash,0.5%,,,,,,,,
Pyroar,105,held_item,5,Quick Claw,0.2%,,,,,,,,
Pyroar,105,held_item,6,Wide Lens,0.1%,,,,,,,,
Pyroar,105,held_item,7,Chople Berry,0.1%,,,,,,,,
Pyroar,105,held_item,8,Leftovers,0.1%,,,,,,,,
Pyroar,105,held_item,9,Choice Scarf,0.1%,,,,,,,,
Pyroar,105,held_item,10,Air Balloon,0.0%,,,,,,,,
Pyroar,105,teammate,1,Torkoal,,,,,,,,,
Pyroar,105,teammate,2,Indeedee-F,,,,,,,,,
Pyroar,105,teammate,3,Whimsicott,,,,,,,,,
Pyroar,105,teammate,4,Rillaboom,,,,,,,,,
Pyroar,105,teammate,5,Farigiraf,,,,,,,,,
Pyroar,105,teammate,6,Sneasler,,,,,,,,,
Pyroar,105,teammate,7,Basculegion,,,,,,,,,
Pyroar,105,teammate,8,Kingambit,,,,,,,,,
Pyroar,105,teammate,9,Gardevoir,,,,,,,,,
Pyroar,105,teammate,10,Garchomp,,,,,,,,,
Pyroar,105,stat_alignment,1,Timid,79.9%,Speed,Attack,,,,,,
Pyroar,105,stat_alignment,2,Modest,18.4%,Sp. Atk,Attack,,,,,,
Pyroar,105,stat_alignment,3,Naive,0.7%,Speed,Sp. Def,,,,,,
Pyroar,105,stat_alignment,4,Hasty,0.3%,Speed,Defense,,,,,,
Pyroar,105,stat_alignment,5,Mild,0.2%,Sp. Atk,Defense,,,,,,
Pyroar,105,stat_alignment,6,Rash,0.1%,Sp. Atk,Sp. Def,,,,,,
Pyroar,105,stat_alignment,7,Quiet,0.1%,Sp. Atk,Speed,,,,,,
Pyroar,105,stat_alignment,8,Bold,0.1%,Defense,Attack,,,,,,
Pyroar,105,stat_alignment,9,Adamant,0.1%,Attack,Sp. Atk,,,,,,
Pyroar,105,stat_alignment,10,Jolly,0.0%,Speed,Sp. Atk,,,,,,
Pyroar,105,stat_points,1,,58.7%,,,2,0,0,32,0,32
Pyroar,105,stat_points,2,,7.0%,,,0,0,0,32,2,32
Pyroar,105,stat_points,3,,5.2%,,,0,0,2,32,0,32
Pyroar,105,stat_points,4,,3.3%,,,7,0,0,32,0,27
Pyroar,105,stat_points,5,,2.1%,,,0,0,7,32,0,27
Pyroar,105,stat_points,6,,1.8%,,,6,0,0,32,0,28
Pyroar,105,stat_points,7,,1.5%,,,1,0,0,32,1,32
Pyroar,105,stat_points,8,,1.2%,,,4,0,0,32,0,30
Pyroar,105,stat_points,9,,1.2%,,,0,0,1,32,1,32
Pyroar,105,stat_points,10,,1.1%,,,0,0,0,32,0,32
Pyroar,105,ability,1,Unnerve,84.7%,,,,,,,,
Pyroar,105,ability,2,Moxie,8.8%,,,,,,,,
Pyroar,105,ability,3,Rivalry,6.6%,,,,,,,,
