pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tyrantrum,203,move,1,Rock Slide,51.3%,,,,,,,,
Tyrantrum,203,move,2,Head Smash,45.0%,,,,,,,,
Tyrantrum,203,move,3,Ice Fang,40.8%,,,,,,,,
Tyrantrum,203,move,4,Crunch,38.3%,,,,,,,,
Tyrantrum,203,move,5,Psychic Fangs,38.1%,,,,,,,,
Tyrantrum,203,move,6,Protect,35.5%,,,,,,,,
Tyrantrum,203,move,7,Dragon Claw,23.4%,,,,,,,,
Tyrantrum,203,move,8,Close Combat,21.1%,,,,,,,,
Tyrantrum,203,move,9,Fire Fang,21.1%,,,,,,,,
Tyrantrum,203,move,10,Thunder Fang,19.1%,,,,,,,,
Tyrantrum,203,held_item,1,Choice Scarf,40.4%,,,,,,,,
Tyrantrum,203,held_item,2,Life Orb,10.3%,,,,,,,,
Tyrantrum,203,held_item,3,Quick Claw,9.6%,,,,,,,,
Tyrantrum,203,held_item,4,Focus Sash,8.7%,,,,,,,,
Tyrantrum,203,held_item,5,Expert Belt,5.0%,,,,,,,,
Tyrantrum,203,held_item,6,Wide Lens,4.9%,,,,,,,,
Tyrantrum,203,held_item,7,Chople Berry,2.5%,,,,,,,,
Tyrantrum,203,held_item,8,Sitrus Berry,2.4%,,,,,,,,
Tyrantrum,203,held_item,9,Muscle Band,2.3%,,,,,,,,
Tyrantrum,203,held_item,10,Hard Stone,1.7%,,,,,,,,
Tyrantrum,203,teammate,1,Rillaboom,,,,,,,,,
Tyrantrum,203,teammate,2,Aerodactyl,,,,,,,,,
Tyrantrum,203,teammate,3,Indeedee-F,,,,,,,,,
Tyrantrum,203,teammate,4,Milotic,,,,,,,,,
Tyrantrum,203,teammate,5,Annihilape,,,,,,,,,
Tyrantrum,203,teammate,6,Golisopod,,,,,,,,,
Tyrantrum,203,teammate,7,Mimikyu,,,,,,,,,
Tyrantrum,203,teammate,8,Staraptor,,,,,,,,,
Tyrantrum,203,teammate,9,Sirfetch’d,,,,,,,,,
Tyrantrum,203,teammate,10,Tyranitar,,,,,,,,,
Tyrantrum,203,stat_alignment,1,Jolly,37.0%,Speed,Sp. Atk,,,,,,
Tyrantrum,203,stat_alignment,2,Adamant,35.7%,Attack,Sp. Atk,,,,,,
Tyrantrum,203,stat_alignment,3,Brave,19.5%,Attack,Speed,,,,,,
Tyrantrum,203,stat_alignment,4,Naive,1.8%,Speed,Sp. Def,,,,,,
Tyrantrum,203,stat_alignment,5,Careful,1.7%,Sp. Def,Sp. Atk,,,,,,
Tyrantrum,203,stat_alignment,6,Hasty,1.2%,Speed,Defense,,,,,,
Tyrantrum,203,stat_alignment,7,Naughty,0.8%,Attack,Sp. Def,,,,,,
Tyrantrum,203,stat_alignment,8,Impish,0.8%,Defense,Sp. Atk,,,,,,
Tyrantrum,203,stat_alignment,9,Relaxed,0.4%,Defense,Speed,,,,,,
Tyrantrum,203,stat_alignment,10,Lonely,0.4%,Attack,Defense,,,,,,
Tyrantrum,203,stat_points,1,,26.3%,,,2,32,0,0,0,32
Tyrantrum,203,stat_points,2,,11.4%,,,0,32,2,0,0,32
Tyrantrum,203,stat_points,3,,7.2%,,,32,32,2,0,0,0
Tyrantrum,203,stat_points,4,,5.4%,,,16,18,0,0,0,32
Tyrantrum,203,stat_points,5,,4.1%,,,32,32,0,0,2,0
Tyrantrum,203,stat_points,6,,3.4%,,,32,32,0,0,0,0
Tyrantrum,203,stat_points,7,,2.6%,,,0,32,0,0,2,32
Tyrantrum,203,stat_points,8,,2.3%,,,2,32,0,0,32,0
Tyrantrum,203,stat_points,9,,2.2%,,,0,32,0,0,0,32
Tyrantrum,203,stat_points,10,,2.0%,,,9,28,0,0,0,29
Tyrantrum,203,ability,1,Strong Jaw,59.1%,,,,,,,,
Tyrantrum,203,ability,2,Rock Head,40.9%,,,,,,,,
