pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Altaria,127,move,1,Roost,87.8%,,,,,,,,
Altaria,127,move,2,Hyper Voice,75.2%,,,,,,,,
Altaria,127,move,3,Cotton Guard,72.8%,,,,,,,,
Altaria,127,move,4,Flamethrower,52.5%,,,,,,,,
Altaria,127,move,5,Fire Blast,16.9%,,,,,,,,
Altaria,127,move,6,Dragon Dance,12.0%,,,,,,,,
Altaria,127,move,7,Body Slam,9.4%,,,,,,,,
Altaria,127,move,8,Draco Meteor,8.5%,,,,,,,,
Altaria,127,move,9,Will-O-Wisp,7.4%,,,,,,,,
Altaria,127,move,10,Earthquake,6.0%,,,,,,,,
Altaria,127,held_item,1,Altarianite,96.2%,,,,,,,,
Altaria,127,held_item,2,Sitrus Berry,0.7%,,,,,,,,
Altaria,127,held_item,3,Leftovers,0.7%,,,,,,,,
Altaria,127,held_item,4,Choice Scarf,0.6%,,,,,,,,
Altaria,127,held_item,5,Rocky Helmet,0.6%,,,,,,,,
Altaria,127,held_item,6,Binding Band,0.2%,,,,,,,,
Altaria,127,held_item,7,Focus Sash,0.1%,,,,,,,,
Altaria,127,held_item,8,Charizardite Y,0.1%,,,,,,,,
Altaria,127,held_item,9,Quick Claw,0.1%,,,,,,,,
Altaria,127,held_item,10,Wide Lens,0.1%,,,,,,,,
Altaria,127,teammate,1,Garchomp,,,,,,,,,
Altaria,127,teammate,2,Gholdengo,,,,,,,,,
Altaria,127,teammate,3,Rillaboom,,,,,,,,,
Altaria,127,teammate,4,Golisopod,,,,,,,,,
Altaria,127,teammate,5,Primarina,,,,,,,,,
Altaria,127,teammate,6,Meowscarada,,,,,,,,,
Altaria,127,teammate,7,Cinderace,,,,,,,,,
Altaria,127,teammate,8,Empoleon,,,,,,,,,
Altaria,127,teammate,9,Gyarados,,,,,,,,,
Altaria,127,teammate,10,Sneasler,,,,,,,,,
Altaria,127,stat_alignment,1,Modest,43.3%,Sp. Atk,Attack,,,,,,
Altaria,127,stat_alignment,2,Bold,20.6%,Defense,Attack,,,,,,
Altaria,127,stat_alignment,3,Calm,15.9%,Sp. Def,Attack,,,,,,
Altaria,127,stat_alignment,4,Careful,5.6%,Sp. Def,Sp. Atk,,,,,,
Altaria,127,stat_alignment,5,Adamant,3.7%,Attack,Sp. Atk,,,,,,
Altaria,127,stat_alignment,6,Timid,3.1%,Speed,Attack,,,,,,
Altaria,127,stat_alignment,7,Jolly,2.3%,Speed,Sp. Atk,,,,,,
Altaria,127,stat_alignment,8,Impish,2.2%,Defense,Sp. Atk,,,,,,
Altaria,127,stat_alignment,9,Quiet,0.9%,Sp. Atk,Speed,,,,,,
Altaria,127,stat_alignment,10,Relaxed,0.6%,Defense,Speed,,,,,,
Altaria,127,stat_points,1,,9.9%,,,32,0,2,0,32,0
Altaria,127,stat_points,2,,5.9%,,,32,0,2,32,0,0
Altaria,127,stat_points,3,,4.4%,,,32,0,0,32,0,2
Altaria,127,stat_points,4,,2.6%,,,32,0,32,0,0,2
Altaria,127,stat_points,5,,2.4%,,,32,0,0,32,2,0
Altaria,127,stat_points,6,,2.3%,,,32,0,32,0,2,0
Altaria,127,stat_points,7,,2.0%,,,2,0,0,32,0,32
Altaria,127,stat_points,8,,1.9%,,,32,0,32,2,0,0
Altaria,127,stat_points,9,,1.8%,,,31,0,7,20,8,0
Altaria,127,stat_points,10,,1.6%,,,31,0,10,0,25,0
Altaria,127,ability,1,Cloud Nine,50.6%,,,,,,,,
Altaria,127,ability,2,Natural Cure,49.4%,,,,,,,,
