pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Vaporeon,92,move,1,Wish,72.9%,,,,,,,,
Vaporeon,92,move,2,Flip Turn,60.6%,,,,,,,,
Vaporeon,92,move,3,Yawn,55.2%,,,,,,,,
Vaporeon,92,move,4,Protect,53.6%,,,,,,,,
Vaporeon,92,move,5,Scald,43.1%,,,,,,,,
Vaporeon,92,move,6,Ice Beam,30.2%,,,,,,,,
Vaporeon,92,move,7,Calm Mind,18.5%,,,,,,,,
Vaporeon,92,move,8,Acid Armor,17.8%,,,,,,,,
Vaporeon,92,move,9,Baton Pass,11.9%,,,,,,,,
Vaporeon,92,move,10,Rest,7.0%,,,,,,,,
Vaporeon,92,held_item,1,Leftovers,74.2%,,,,,,,,
Vaporeon,92,held_item,2,Sitrus Berry,12.4%,,,,,,,,
Vaporeon,92,held_item,3,Chesto Berry,5.2%,,,,,,,,
Vaporeon,92,held_item,4,Rocky Helmet,2.4%,,,,,,,,
Vaporeon,92,held_item,5,Lum Berry,1.0%,,,,,,,,
Vaporeon,92,held_item,6,Mystic Water,0.7%,,,,,,,,
Vaporeon,92,held_item,7,Damp Rock,0.7%,,,,,,,,
Vaporeon,92,held_item,8,Mental Herb,0.3%,,,,,,,,
Vaporeon,92,held_item,9,Choice Scarf,0.3%,,,,,,,,
Vaporeon,92,held_item,10,Quick Claw,0.3%,,,,,,,,
Vaporeon,92,teammate,1,Golisopod,,,,,,,,,
Vaporeon,92,teammate,2,Garchomp,,,,,,,,,
Vaporeon,92,teammate,3,Salamence,,,,,,,,,
Vaporeon,92,teammate,4,Gholdengo,,,,,,,,,
Vaporeon,92,teammate,5,Baxcalibur,,,,,,,,,
Vaporeon,92,teammate,6,Rillaboom,,,,,,,,,
Vaporeon,92,teammate,7,Glimmora,,,,,,,,,
Vaporeon,92,teammate,8,Hippowdon,,,,,,,,,
Vaporeon,92,teammate,9,Delphox,,,,,,,,,
Vaporeon,92,teammate,10,Lucario,,,,,,,,,
Vaporeon,92,stat_alignment,1,Relaxed,41.0%,Defense,Speed,,,,,,
Vaporeon,92,stat_alignment,2,Bold,32.8%,Defense,Attack,,,,,,
Vaporeon,92,stat_alignment,3,Calm,9.7%,Sp. Def,Attack,,,,,,
Vaporeon,92,stat_alignment,4,Sassy,6.1%,Sp. Def,Speed,,,,,,
Vaporeon,92,stat_alignment,5,Modest,4.4%,Sp. Atk,Attack,,,,,,
Vaporeon,92,stat_alignment,6,Impish,3.4%,Defense,Sp. Atk,,,,,,
Vaporeon,92,stat_alignment,7,Careful,0.9%,Sp. Def,Sp. Atk,,,,,,
Vaporeon,92,stat_alignment,8,Quiet,0.8%,Sp. Atk,Speed,,,,,,
Vaporeon,92,stat_alignment,9,Timid,0.5%,Speed,Attack,,,,,,
Vaporeon,92,stat_alignment,10,Mild,0.1%,Sp. Atk,Defense,,,,,,
Vaporeon,92,stat_points,1,,51.3%,,,32,0,32,0,2,0
Vaporeon,92,stat_points,2,,5.7%,,,32,0,2,0,32,0
Vaporeon,92,stat_points,3,,4.1%,,,32,0,30,0,4,0
Vaporeon,92,stat_points,4,,3.4%,,,32,0,32,2,0,0
Vaporeon,92,stat_points,5,,2.3%,,,32,0,32,0,0,0
Vaporeon,92,stat_points,6,,2.3%,,,2,0,32,0,32,0
Vaporeon,92,stat_points,7,,1.6%,,,32,0,32,0,0,2
Vaporeon,92,stat_points,8,,1.2%,,,28,0,32,0,0,6
Vaporeon,92,stat_points,9,,1.1%,,,32,0,0,2,32,0
Vaporeon,92,stat_points,10,,1.0%,,,32,0,20,0,14,0
Vaporeon,92,ability,1,Water Absorb,96.3%,,,,,,,,
Vaporeon,92,ability,2,Hydration,3.7%,,,,,,,,
