pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ditto,138,move,1,Transform,100.0%,,,,,,,,
Ditto,138,held_item,1,Choice Scarf,31.7%,,,,,,,,
Ditto,138,held_item,2,Quick Claw,18.9%,,,,,,,,
Ditto,138,held_item,3,Focus Sash,11.9%,,,,,,,,
Ditto,138,held_item,4,Sitrus Berry,11.1%,,,,,,,,
Ditto,138,held_item,5,Life Orb,6.5%,,,,,,,,
Ditto,138,held_item,6,Leftovers,5.1%,,,,,,,,
Ditto,138,held_item,7,Bright Powder,3.6%,,,,,,,,
Ditto,138,held_item,8,Iron Ball,2.6%,,,,,,,,
Ditto,138,held_item,9,Rocky Helmet,1.4%,,,,,,,,
Ditto,138,held_item,10,Expert Belt,1.4%,,,,,,,,
Ditto,138,teammate,1,Rillaboom,,,,,,,,,
Ditto,138,teammate,2,Sneasler,,,,,,,,,
Ditto,138,teammate,3,Salamence,,,,,,,,,
Ditto,138,teammate,4,Indeedee-F,,,,,,,,,
Ditto,138,teammate,5,Garchomp,,,,,,,,,
Ditto,138,teammate,6,Golisopod,,,,,,,,,
Ditto,138,teammate,7,Charizard,,,,,,,,,
Ditto,138,teammate,8,Incineroar,,,,,,,,,
Ditto,138,teammate,9,Whimsicott,,,,,,,,,
Ditto,138,teammate,10,Archaludon,,,,,,,,,
Ditto,138,stat_alignment,1,Timid,22.7%,Speed,Attack,,,,,,
Ditto,138,stat_alignment,2,Relaxed,11.1%,Defense,Speed,,,,,,
Ditto,138,stat_alignment,3,Jolly,8.6%,Speed,Sp. Atk,,,,,,
Ditto,138,stat_alignment,4,Serious,8.6%,,,,,,,,
Ditto,138,stat_alignment,5,Hasty,6.5%,Speed,Defense,,,,,,
Ditto,138,stat_alignment,6,Brave,4.4%,Attack,Speed,,,,,,
Ditto,138,stat_alignment,7,Naive,3.8%,Speed,Sp. Def,,,,,,
Ditto,138,stat_alignment,8,Bold,3.7%,Defense,Attack,,,,,,
Ditto,138,stat_alignment,9,Sassy,3.7%,Sp. Def,Speed,,,,,,
Ditto,138,stat_alignment,10,Adamant,3.2%,Attack,Sp. Atk,,,,,,
Ditto,138,stat_points,1,,12.7%,,,32,0,0,0,2,32
Ditto,138,stat_points,2,,10.4%,,,32,0,2,0,0,32
Ditto,138,stat_points,3,,6.5%,,,32,0,32,0,2,0
Ditto,138,stat_points,4,,5.8%,,,32,0,0,0,0,32
Ditto,138,stat_points,5,,5.5%,,,32,0,0,0,0,0
Ditto,138,stat_points,6,,5.4%,,,32,0,0,2,0,32
Ditto,138,stat_points,7,,5.0%,,,32,0,1,0,1,32
Ditto,138,stat_points,8,,4.2%,,,32,2,0,0,0,32
Ditto,138,stat_points,9,,3.2%,,,32,0,2,0,32,0
Ditto,138,stat_points,10,,2.3%,,,32,2,32,0,0,0
Ditto,138,ability,1,Imposter,96.3%,,,,,,,,
Ditto,138,ability,2,Limber,3.7%,,,,,,,,
