pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Alcremie,196,move,1,Calm Mind,79.4%,,,,,,,,
Alcremie,196,move,2,Acid Armor,69.6%,,,,,,,,
Alcremie,196,move,3,Recover,67.4%,,,,,,,,
Alcremie,196,move,4,Alluring Voice,53.0%,,,,,,,,
Alcremie,196,move,5,Mystical Fire,33.6%,,,,,,,,
Alcremie,196,move,6,Draining Kiss,31.4%,,,,,,,,
Alcremie,196,move,7,Stored Power,13.8%,,,,,,,,
Alcremie,196,move,8,Giga Drain,7.8%,,,,,,,,
Alcremie,196,move,9,Dazzling Gleam,7.2%,,,,,,,,
Alcremie,196,move,10,Encore,5.5%,,,,,,,,
Alcremie,196,held_item,1,Leftovers,55.4%,,,,,,,,
Alcremie,196,held_item,2,Sitrus Berry,13.7%,,,,,,,,
Alcremie,196,held_item,3,Life Orb,4.3%,,,,,,,,
Alcremie,196,held_item,4,Rocky Helmet,3.7%,,,,,,,,
Alcremie,196,held_item,5,Babiri Berry,3.5%,,,,,,,,
Alcremie,196,held_item,6,Big Root,3.0%,,,,,,,,
Alcremie,196,held_item,7,Focus Sash,2.6%,,,,,,,,
Alcremie,196,held_item,8,Bright Powder,1.9%,,,,,,,,
Alcremie,196,held_item,9,Quick Claw,1.8%,,,,,,,,
Alcremie,196,held_item,10,Lum Berry,1.3%,,,,,,,,
Alcremie,196,teammate,1,Garchomp,,,,,,,,,
Alcremie,196,teammate,2,Salamence,,,,,,,,,
Alcremie,196,teammate,3,Golisopod,,,,,,,,,
Alcremie,196,teammate,4,Lucario,,,,,,,,,
Alcremie,196,teammate,5,Rillaboom,,,,,,,,,
Alcremie,196,teammate,6,Cinderace,,,,,,,,,
Alcremie,196,teammate,7,Baxcalibur,,,,,,,,,
Alcremie,196,teammate,8,Archaludon,,,,,,,,,
Alcremie,196,teammate,9,Basculegion,,,,,,,,,
Alcremie,196,teammate,10,Charizard,,,,,,,,,
Alcremie,196,stat_alignment,1,Bold,47.8%,Defense,Attack,,,,,,
Alcremie,196,stat_alignment,2,Calm,27.9%,Sp. Def,Attack,,,,,,
Alcremie,196,stat_alignment,3,Modest,15.9%,Sp. Atk,Attack,,,,,,
Alcremie,196,stat_alignment,4,Relaxed,3.0%,Defense,Speed,,,,,,
Alcremie,196,stat_alignment,5,Quiet,2.4%,Sp. Atk,Speed,,,,,,
Alcremie,196,stat_alignment,6,Adamant,1.2%,Attack,Sp. Atk,,,,,,
Alcremie,196,stat_alignment,7,Timid,1.1%,Speed,Attack,,,,,,
Alcremie,196,stat_alignment,8,Sassy,0.3%,Sp. Def,Speed,,,,,,
Alcremie,196,stat_alignment,9,Mild,0.2%,Sp. Atk,Defense,,,,,,
Alcremie,196,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Alcremie,196,stat_points,1,,27.4%,,,32,0,32,0,2,0
Alcremie,196,stat_points,2,,7.8%,,,32,0,2,0,32,0
Alcremie,196,stat_points,3,,3.9%,,,31,0,32,0,3,0
Alcremie,196,stat_points,4,,3.3%,,,31,0,18,0,17,0
Alcremie,196,stat_points,5,,3.3%,,,2,0,0,32,32,0
Alcremie,196,stat_points,6,,2.6%,,,32,0,0,2,32,0
Alcremie,196,stat_points,7,,2.5%,,,32,0,32,0,0,0
Alcremie,196,stat_points,8,,2.1%,,,32,0,32,2,0,0
Alcremie,196,stat_points,9,,2.0%,,,32,0,0,32,2,0
Alcremie,196,stat_points,10,,1.9%,,,31,0,25,0,10,0
Alcremie,196,ability,1,Aroma Veil,75.7%,,,,,,,,
Alcremie,196,ability,2,Sweet Veil,24.3%,,,,,,,,
