pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Corviknight,47,move,1,Brave Bird,79.5%,,,,,,,,
Corviknight,47,move,2,Roost,76.7%,,,,,,,,
Corviknight,47,move,3,Bulk Up,62.0%,,,,,,,,
Corviknight,47,move,4,Power Trip,48.4%,,,,,,,,
Corviknight,47,move,5,Body Press,31.1%,,,,,,,,
Corviknight,47,move,6,Iron Head,29.3%,,,,,,,,
Corviknight,47,move,7,Tailwind,28.8%,,,,,,,,
Corviknight,47,move,8,Iron Defense,16.7%,,,,,,,,
Corviknight,47,move,9,Protect,13.0%,,,,,,,,
Corviknight,47,move,10,Taunt,4.1%,,,,,,,,
Corviknight,47,held_item,1,Psychic Seed,47.6%,,,,,,,,
Corviknight,47,held_item,2,Leftovers,28.9%,,,,,,,,
Corviknight,47,held_item,3,Rocky Helmet,7.2%,,,,,,,,
Corviknight,47,held_item,4,Sitrus Berry,6.5%,,,,,,,,
Corviknight,47,held_item,5,Occa Berry,3.0%,,,,,,,,
Corviknight,47,held_item,6,Grassy Seed,1.1%,,,,,,,,
Corviknight,47,held_item,7,Life Orb,0.8%,,,,,,,,
Corviknight,47,held_item,8,Bright Powder,0.7%,,,,,,,,
Corviknight,47,held_item,9,Quick Claw,0.5%,,,,,,,,
Corviknight,47,held_item,10,Sharp Beak,0.5%,,,,,,,,
Corviknight,47,teammate,1,Tyranitar,,,,,,,,,
Corviknight,47,teammate,2,Sneasler,,,,,,,,,
Corviknight,47,teammate,3,Excadrill,,,,,,,,,
Corviknight,47,teammate,4,Salamence,,,,,,,,,
Corviknight,47,teammate,5,Indeedee,,,,,,,,,
Corviknight,47,teammate,6,Garchomp,,,,,,,,,
Corviknight,47,teammate,7,Indeedee-F,,,,,,,,,
Corviknight,47,teammate,8,Rillaboom,,,,,,,,,
Corviknight,47,teammate,9,Incineroar,,,,,,,,,
Corviknight,47,teammate,10,Milotic,,,,,,,,,
Corviknight,47,stat_alignment,1,Careful,53.2%,Sp. Def,Sp. Atk,,,,,,
Corviknight,47,stat_alignment,2,Impish,28.2%,Defense,Sp. Atk,,,,,,
Corviknight,47,stat_alignment,3,Adamant,12.4%,Attack,Sp. Atk,,,,,,
Corviknight,47,stat_alignment,4,Jolly,2.0%,Speed,Sp. Atk,,,,,,
Corviknight,47,stat_alignment,5,Relaxed,1.4%,Defense,Speed,,,,,,
Corviknight,47,stat_alignment,6,Brave,1.0%,Attack,Speed,,,,,,
Corviknight,47,stat_alignment,7,Sassy,0.8%,Sp. Def,Speed,,,,,,
Corviknight,47,stat_alignment,8,Bold,0.4%,Defense,Attack,,,,,,
Corviknight,47,stat_alignment,9,Calm,0.2%,Sp. Def,Attack,,,,,,
Corviknight,47,stat_alignment,10,Naughty,0.1%,Attack,Sp. Def,,,,,,
Corviknight,47,stat_points,1,,13.1%,,,32,0,2,0,32,0
Corviknight,47,stat_points,2,,7.2%,,,32,0,32,0,2,0
Corviknight,47,stat_points,3,,3.5%,,,32,0,32,0,0,2
Corviknight,47,stat_points,4,,3.4%,,,32,0,5,0,26,3
Corviknight,47,stat_points,5,,3.1%,,,32,0,0,0,32,2
Corviknight,47,stat_points,6,,2.0%,,,32,0,9,0,25,0
Corviknight,47,stat_points,7,,1.8%,,,32,18,2,0,5,9
Corviknight,47,stat_points,8,,1.7%,,,32,2,0,0,32,0
Corviknight,47,stat_points,9,,1.2%,,,32,2,32,0,0,0
Corviknight,47,stat_points,10,,1.1%,,,32,32,0,0,2,0
Corviknight,47,ability,1,Mirror Armor,97.5%,,,,,,,,
Corviknight,47,ability,2,Unnerve,1.3%,,,,,,,,
Corviknight,47,ability,3,Pressure,1.2%,,,,,,,,
