pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Klefki,108,move,1,Light Screen,62.3%,,,,,,,,
Klefki,108,move,2,Reflect,59.1%,,,,,,,,
Klefki,108,move,3,Dazzling Gleam,43.9%,,,,,,,,
Klefki,108,move,4,Rain Dance,42.4%,,,,,,,,
Klefki,108,move,5,Trick Room,26.5%,,,,,,,,
Klefki,108,move,6,Thunder Wave,21.8%,,,,,,,,
Klefki,108,move,7,Draining Kiss,20.4%,,,,,,,,
Klefki,108,move,8,Psych Up,18.1%,,,,,,,,
Klefki,108,move,9,Calm Mind,16.0%,,,,,,,,
Klefki,108,move,10,Substitute,10.5%,,,,,,,,
Klefki,108,held_item,1,Light Clay,47.5%,,,,,,,,
Klefki,108,held_item,2,Sitrus Berry,16.5%,,,,,,,,
Klefki,108,held_item,3,Leftovers,6.4%,,,,,,,,
Klefki,108,held_item,4,Mental Herb,4.5%,,,,,,,,
Klefki,108,held_item,5,Occa Berry,3.5%,,,,,,,,
Klefki,108,held_item,6,Focus Sash,2.8%,,,,,,,,
Klefki,108,held_item,7,Fairy Feather,2.4%,,,,,,,,
Klefki,108,held_item,8,Rocky Helmet,1.8%,,,,,,,,
Klefki,108,held_item,9,Quick Claw,1.4%,,,,,,,,
Klefki,108,held_item,10,Bright Powder,1.3%,,,,,,,,
Klefki,108,teammate,1,Archaludon,,,,,,,,,
Klefki,108,teammate,2,Rillaboom,,,,,,,,,
Klefki,108,teammate,3,Golisopod,,,,,,,,,
Klefki,108,teammate,4,Salamence,,,,,,,,,
Klefki,108,teammate,5,Overqwil,,,,,,,,,
Klefki,108,teammate,6,Garchomp,,,,,,,,,
Klefki,108,teammate,7,Sneasler,,,,,,,,,
Klefki,108,teammate,8,Pelipper,,,,,,,,,
Klefki,108,teammate,9,Volcarona,,,,,,,,,
Klefki,108,teammate,10,Milotic,,,,,,,,,
Klefki,108,stat_alignment,1,Bold,44.2%,Defense,Attack,,,,,,
Klefki,108,stat_alignment,2,Calm,23.7%,Sp. Def,Attack,,,,,,
Klefki,108,stat_alignment,3,Modest,13.7%,Sp. Atk,Attack,,,,,,
Klefki,108,stat_alignment,4,Relaxed,5.7%,Defense,Speed,,,,,,
Klefki,108,stat_alignment,5,Quiet,3.7%,Sp. Atk,Speed,,,,,,
Klefki,108,stat_alignment,6,Sassy,3.1%,Sp. Def,Speed,,,,,,
Klefki,108,stat_alignment,7,Timid,2.2%,Speed,Attack,,,,,,
Klefki,108,stat_alignment,8,Careful,1.9%,Sp. Def,Sp. Atk,,,,,,
Klefki,108,stat_alignment,9,Impish,0.8%,Defense,Sp. Atk,,,,,,
Klefki,108,stat_alignment,10,Mild,0.4%,Sp. Atk,Defense,,,,,,
Klefki,108,stat_points,1,,9.8%,,,32,0,9,0,25,0
Klefki,108,stat_points,2,,8.4%,,,32,0,29,0,5,0
Klefki,108,stat_points,3,,7.6%,,,32,0,32,0,2,0
Klefki,108,stat_points,4,,6.2%,,,32,0,2,0,32,0
Klefki,108,stat_points,5,,5.0%,,,32,0,21,0,13,0
Klefki,108,stat_points,6,,3.9%,,,2,0,32,0,32,0
Klefki,108,stat_points,7,,2.9%,,,32,0,19,0,15,0
Klefki,108,stat_points,8,,2.2%,,,0,0,2,32,0,32
Klefki,108,stat_points,9,,1.9%,,,32,0,17,0,17,0
Klefki,108,stat_points,10,,1.8%,,,32,0,0,32,2,0
Klefki,108,ability,1,Prankster,99.7%,,,,,,,,
Klefki,108,ability,2,Magician,0.3%,,,,,,,,
