pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Runerigus,177,move,1,Trick Room,87.8%,,,,,,,,
Runerigus,177,move,2,Body Press,48.6%,,,,,,,,
Runerigus,177,move,3,Will-O-Wisp,38.2%,,,,,,,,
Runerigus,177,move,4,Poltergeist,36.7%,,,,,,,,
Runerigus,177,move,5,Ally Switch,34.4%,,,,,,,,
Runerigus,177,move,6,Earthquake,25.1%,,,,,,,,
Runerigus,177,move,7,Destiny Bond,19.7%,,,,,,,,
Runerigus,177,move,8,Protect,14.6%,,,,,,,,
Runerigus,177,move,9,Iron Defense,11.4%,,,,,,,,
Runerigus,177,move,10,Rock Slide,10.5%,,,,,,,,
Runerigus,177,held_item,1,Leftovers,23.2%,,,,,,,,
Runerigus,177,held_item,2,Focus Sash,18.7%,,,,,,,,
Runerigus,177,held_item,3,Sitrus Berry,16.4%,,,,,,,,
Runerigus,177,held_item,4,Mental Herb,9.0%,,,,,,,,
Runerigus,177,held_item,5,Colbur Berry,7.6%,,,,,,,,
Runerigus,177,held_item,6,Rocky Helmet,5.6%,,,,,,,,
Runerigus,177,held_item,7,Life Orb,2.1%,,,,,,,,
Runerigus,177,held_item,8,Electric Seed,1.9%,,,,,,,,
Runerigus,177,held_item,9,Kasib Berry,1.9%,,,,,,,,
Runerigus,177,held_item,10,Grassy Seed,1.2%,,,,,,,,
Runerigus,177,teammate,1,Golisopod,,,,,,,,,
Runerigus,177,teammate,2,Rillaboom,,,,,,,,,
Runerigus,177,teammate,3,Tyranitar,,,,,,,,,
Runerigus,177,teammate,4,Indeedee-F,,,,,,,,,
Runerigus,177,teammate,5,Torkoal,,,,,,,,,
Runerigus,177,teammate,6,Ampharos,,,,,,,,,
Runerigus,177,teammate,7,Incineroar,,,,,,,,,
Runerigus,177,teammate,8,Sinistcha,,,,,,,,,
Runerigus,177,teammate,9,Mawile,,,,,,,,,
Runerigus,177,teammate,10,Charizard,,,,,,,,,
Runerigus,177,stat_alignment,1,Relaxed,37.4%,Defense,Speed,,,,,,
Runerigus,177,stat_alignment,2,Sassy,20.6%,Sp. Def,Speed,,,,,,
Runerigus,177,stat_alignment,3,Brave,14.9%,Attack,Speed,,,,,,
Runerigus,177,stat_alignment,4,Impish,9.3%,Defense,Sp. Atk,,,,,,
Runerigus,177,stat_alignment,5,Adamant,7.0%,Attack,Sp. Atk,,,,,,
Runerigus,177,stat_alignment,6,Careful,6.5%,Sp. Def,Sp. Atk,,,,,,
Runerigus,177,stat_alignment,7,Quiet,2.3%,Sp. Atk,Speed,,,,,,
Runerigus,177,stat_alignment,8,Bold,1.0%,Defense,Attack,,,,,,
Runerigus,177,stat_alignment,9,Calm,0.4%,Sp. Def,Attack,,,,,,
Runerigus,177,stat_alignment,10,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Runerigus,177,stat_points,1,,19.2%,,,32,0,32,0,2,0
Runerigus,177,stat_points,2,,6.6%,,,32,0,2,0,32,0
Runerigus,177,stat_points,3,,5.1%,,,32,32,2,0,0,0
Runerigus,177,stat_points,4,,4.8%,,,32,0,25,0,9,0
Runerigus,177,stat_points,5,,4.4%,,,32,32,0,0,2,0
Runerigus,177,stat_points,6,,3.9%,,,2,0,32,0,32,0
Runerigus,177,stat_points,7,,3.2%,,,2,32,32,0,0,0
Runerigus,177,stat_points,8,,2.9%,,,32,0,0,0,32,0
Runerigus,177,stat_points,9,,2.7%,,,32,0,5,0,29,0
Runerigus,177,stat_points,10,,2.7%,,,0,32,2,0,32,0
Runerigus,177,ability,1,Wandering Spirit,100.0%,,,,,,,,
