pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist-Super,232,move,1,Will-O-Wisp,57.8%,,,,,,,,
Gourgeist-Super,232,move,2,Poltergeist,50.5%,,,,,,,,
Gourgeist-Super,232,move,3,Trick Room,45.2%,,,,,,,,
Gourgeist-Super,232,move,4,Leech Seed,44.8%,,,,,,,,
Gourgeist-Super,232,move,5,Power Whip,42.0%,,,,,,,,
Gourgeist-Super,232,move,6,Explosion,34.8%,,,,,,,,
Gourgeist-Super,232,move,7,Curse,23.3%,,,,,,,,
Gourgeist-Super,232,move,8,Shadow Sneak,19.6%,,,,,,,,
Gourgeist-Super,232,move,9,Protect,19.4%,,,,,,,,
Gourgeist-Super,232,move,10,Destiny Bond,16.5%,,,,,,,,
Gourgeist-Super,232,held_item,1,Focus Sash,29.1%,,,,,,,,
Gourgeist-Super,232,held_item,2,Leftovers,26.7%,,,,,,,,
Gourgeist-Super,232,held_item,3,Sitrus Berry,13.1%,,,,,,,,
Gourgeist-Super,232,held_item,4,Rocky Helmet,8.3%,,,,,,,,
Gourgeist-Super,232,held_item,5,Normal Gem,3.1%,,,,,,,,
Gourgeist-Super,232,held_item,6,Wide Lens,2.3%,,,,,,,,
Gourgeist-Super,232,held_item,7,Zoom Lens,2.3%,,,,,,,,
Gourgeist-Super,232,held_item,8,Spell Tag,2.1%,,,,,,,,
Gourgeist-Super,232,held_item,9,Kasib Berry,1.9%,,,,,,,,
Gourgeist-Super,232,held_item,10,Life Orb,1.4%,,,,,,,,
Gourgeist-Super,232,teammate,1,Garchomp,,,,,,,,,
Gourgeist-Super,232,teammate,2,Golisopod,,,,,,,,,
Gourgeist-Super,232,teammate,3,Primarina,,,,,,,,,
Gourgeist-Super,232,teammate,4,Salamence,,,,,,,,,
Gourgeist-Super,232,teammate,5,Mawile,,,,,,,,,
Gourgeist-Super,232,teammate,6,Lucario,,,,,,,,,
Gourgeist-Super,232,teammate,7,Basculegion,,,,,,,,,
Gourgeist-Super,232,teammate,8,Snorlax,,,,,,,,,
Gourgeist-Super,232,teammate,9,Hippowdon,,,,,,,,,
Gourgeist-Super,232,teammate,10,Tyranitar,,,,,,,,,
Gourgeist-Super,232,stat_alignment,1,Impish,30.0%,Defense,Sp. Atk,,,,,,
Gourgeist-Super,232,stat_alignment,2,Brave,28.5%,Attack,Speed,,,,,,
Gourgeist-Super,232,stat_alignment,3,Careful,10.6%,Sp. Def,Sp. Atk,,,,,,
Gourgeist-Super,232,stat_alignment,4,Adamant,10.4%,Attack,Sp. Atk,,,,,,
Gourgeist-Super,232,stat_alignment,5,Sassy,8.2%,Sp. Def,Speed,,,,,,
Gourgeist-Super,232,stat_alignment,6,Relaxed,7.6%,Defense,Speed,,,,,,
Gourgeist-Super,232,stat_alignment,7,Bold,2.5%,Defense,Attack,,,,,,
Gourgeist-Super,232,stat_alignment,8,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Gourgeist-Super,232,stat_alignment,9,Modest,0.3%,Sp. Atk,Attack,,,,,,
Gourgeist-Super,232,stat_alignment,10,Calm,0.2%,Sp. Def,Attack,,,,,,
Gourgeist-Super,232,stat_points,1,,16.0%,,,32,0,32,0,2,0
Gourgeist-Super,232,stat_points,2,,14.3%,,,32,32,2,0,0,0
Gourgeist-Super,232,stat_points,3,,6.2%,,,31,32,3,0,0,0
Gourgeist-Super,232,stat_points,4,,6.2%,,,32,32,0,0,2,0
Gourgeist-Super,232,stat_points,5,,4.9%,,,32,0,2,0,32,0
Gourgeist-Super,232,stat_points,6,,4.6%,,,2,0,32,0,32,0
Gourgeist-Super,232,stat_points,7,,4.2%,,,32,2,32,0,0,0
Gourgeist-Super,232,stat_points,8,,3.5%,,,32,0,32,0,0,0
Gourgeist-Super,232,stat_points,9,,2.7%,,,0,32,2,0,32,0
Gourgeist-Super,232,stat_points,10,,2.4%,,,22,12,0,0,10,22
Gourgeist-Super,232,ability,1,Insomnia,71.2%,,,,,,,,
Gourgeist-Super,232,ability,2,Frisk,27.8%,,,,,,,,
Gourgeist-Super,232,ability,3,Pickup,1.0%,,,,,,,,
