pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Trevenant,213,move,1,Horn Leech,62.4%,,,,,,,,
Trevenant,213,move,2,Trick Room,45.7%,,,,,,,,
Trevenant,213,move,3,Protect,45.2%,,,,,,,,
Trevenant,213,move,4,Poltergeist,31.3%,,,,,,,,
Trevenant,213,move,5,Leech Seed,27.0%,,,,,,,,
Trevenant,213,move,6,Will-O-Wisp,23.8%,,,,,,,,
Trevenant,213,move,7,Ally Switch,22.5%,,,,,,,,
Trevenant,213,move,8,Phantom Force,18.0%,,,,,,,,
Trevenant,213,move,9,Forest's Curse,17.5%,,,,,,,,
Trevenant,213,move,10,Wood Hammer,17.1%,,,,,,,,
Trevenant,213,held_item,1,Sitrus Berry,70.9%,,,,,,,,
Trevenant,213,held_item,2,Focus Sash,8.1%,,,,,,,,
Trevenant,213,held_item,3,Occa Berry,5.6%,,,,,,,,
Trevenant,213,held_item,4,Quick Claw,3.0%,,,,,,,,
Trevenant,213,held_item,5,Iron Ball,2.6%,,,,,,,,
Trevenant,213,held_item,6,Leftovers,2.1%,,,,,,,,
Trevenant,213,held_item,7,Big Root,2.0%,,,,,,,,
Trevenant,213,held_item,8,Life Orb,1.2%,,,,,,,,
Trevenant,213,held_item,9,Grassy Seed,0.7%,,,,,,,,
Trevenant,213,held_item,10,Colbur Berry,0.6%,,,,,,,,
Trevenant,213,teammate,1,Torkoal,,,,,,,,,
Trevenant,213,teammate,2,Golisopod,,,,,,,,,
Trevenant,213,teammate,3,Farigiraf,,,,,,,,,
Trevenant,213,teammate,4,Charizard,,,,,,,,,
Trevenant,213,teammate,5,Indeedee-F,,,,,,,,,
Trevenant,213,teammate,6,Rillaboom,,,,,,,,,
Trevenant,213,teammate,7,Tyranitar,,,,,,,,,
Trevenant,213,teammate,8,Incineroar,,,,,,,,,
Trevenant,213,teammate,9,Salamence,,,,,,,,,
Trevenant,213,teammate,10,Milotic,,,,,,,,,
Trevenant,213,stat_alignment,1,Brave,23.8%,Attack,Speed,,,,,,
Trevenant,213,stat_alignment,2,Careful,19.0%,Sp. Def,Sp. Atk,,,,,,
Trevenant,213,stat_alignment,3,Adamant,12.8%,Attack,Sp. Atk,,,,,,
Trevenant,213,stat_alignment,4,Impish,12.6%,Defense,Sp. Atk,,,,,,
Trevenant,213,stat_alignment,5,Relaxed,12.2%,Defense,Speed,,,,,,
Trevenant,213,stat_alignment,6,Sassy,11.4%,Sp. Def,Speed,,,,,,
Trevenant,213,stat_alignment,7,Jolly,3.5%,Speed,Sp. Atk,,,,,,
Trevenant,213,stat_alignment,8,Calm,1.4%,Sp. Def,Attack,,,,,,
Trevenant,213,stat_alignment,9,Lax,0.9%,Defense,Sp. Def,,,,,,
Trevenant,213,stat_alignment,10,Bold,0.7%,Defense,Attack,,,,,,
Trevenant,213,stat_points,1,,11.6%,,,32,32,2,0,0,0
Trevenant,213,stat_points,2,,6.2%,,,32,0,2,0,32,0
Trevenant,213,stat_points,3,,4.3%,,,0,0,32,0,32,0
Trevenant,213,stat_points,4,,3.9%,,,2,0,32,0,32,0
Trevenant,213,stat_points,5,,3.5%,,,32,32,0,0,2,0
Trevenant,213,stat_points,6,,3.1%,,,31,32,0,0,3,0
Trevenant,213,stat_points,7,,3.0%,,,32,0,18,0,16,0
Trevenant,213,stat_points,8,,2.8%,,,32,0,9,0,25,0
Trevenant,213,stat_points,9,,2.5%,,,0,32,32,0,2,0
Trevenant,213,stat_points,10,,2.2%,,,32,0,32,0,2,0
Trevenant,213,ability,1,Harvest,84.2%,,,,,,,,
Trevenant,213,ability,2,Frisk,12.2%,,,,,,,,
Trevenant,213,ability,3,Natural Cure,3.7%,,,,,,,,
