pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Arcanine-Hisui,91,move,1,Flare Blitz,96.6%,,,,,,,,
Arcanine-Hisui,91,move,2,Head Smash,93.2%,,,,,,,,
Arcanine-Hisui,91,move,3,Extreme Speed,69.7%,,,,,,,,
Arcanine-Hisui,91,move,4,Wild Charge,51.1%,,,,,,,,
Arcanine-Hisui,91,move,5,Close Combat,27.5%,,,,,,,,
Arcanine-Hisui,91,move,6,Stealth Rock,12.6%,,,,,,,,
Arcanine-Hisui,91,move,7,Will-O-Wisp,6.6%,,,,,,,,
Arcanine-Hisui,91,move,8,Outrage,6.2%,,,,,,,,
Arcanine-Hisui,91,move,9,Psychic Fangs,4.5%,,,,,,,,
Arcanine-Hisui,91,move,10,Double-Edge,3.5%,,,,,,,,
Arcanine-Hisui,91,held_item,1,Focus Sash,47.7%,,,,,,,,
Arcanine-Hisui,91,held_item,2,Choice Scarf,28.1%,,,,,,,,
Arcanine-Hisui,91,held_item,3,Life Orb,7.0%,,,,,,,,
Arcanine-Hisui,91,held_item,4,Air Balloon,6.8%,,,,,,,,
Arcanine-Hisui,91,held_item,5,Sitrus Berry,2.1%,,,,,,,,
Arcanine-Hisui,91,held_item,6,Rocky Helmet,1.0%,,,,,,,,
Arcanine-Hisui,91,held_item,7,Leftovers,1.0%,,,,,,,,
Arcanine-Hisui,91,held_item,8,Expert Belt,1.0%,,,,,,,,
Arcanine-Hisui,91,held_item,9,Wide Lens,0.9%,,,,,,,,
Arcanine-Hisui,91,held_item,10,Muscle Band,0.8%,,,,,,,,
Arcanine-Hisui,91,teammate,1,Garchomp,,,,,,,,,
Arcanine-Hisui,91,teammate,2,Salamence,,,,,,,,,
Arcanine-Hisui,91,teammate,3,Golisopod,,,,,,,,,
Arcanine-Hisui,91,teammate,4,Primarina,,,,,,,,,
Arcanine-Hisui,91,teammate,5,Lucario,,,,,,,,,
Arcanine-Hisui,91,teammate,6,Baxcalibur,,,,,,,,,
Arcanine-Hisui,91,teammate,7,Rillaboom,,,,,,,,,
Arcanine-Hisui,91,teammate,8,Gholdengo,,,,,,,,,
Arcanine-Hisui,91,teammate,9,Hippowdon,,,,,,,,,
Arcanine-Hisui,91,teammate,10,Archaludon,,,,,,,,,
Arcanine-Hisui,91,stat_alignment,1,Adamant,57.7%,Attack,Sp. Atk,,,,,,
Arcanine-Hisui,91,stat_alignment,2,Jolly,35.2%,Speed,Sp. Atk,,,,,,
Arcanine-Hisui,91,stat_alignment,3,Naughty,1.6%,Attack,Sp. Def,,,,,,
Arcanine-Hisui,91,stat_alignment,4,Careful,1.1%,Sp. Def,Sp. Atk,,,,,,
Arcanine-Hisui,91,stat_alignment,5,Impish,1.1%,Defense,Sp. Atk,,,,,,
Arcanine-Hisui,91,stat_alignment,6,Lonely,0.7%,Attack,Defense,,,,,,
Arcanine-Hisui,91,stat_alignment,7,Naive,0.5%,Speed,Sp. Def,,,,,,
Arcanine-Hisui,91,stat_alignment,8,Brave,0.4%,Attack,Speed,,,,,,
Arcanine-Hisui,91,stat_alignment,9,Modest,0.4%,Sp. Atk,Attack,,,,,,
Arcanine-Hisui,91,stat_alignment,10,Timid,0.3%,Speed,Attack,,,,,,
Arcanine-Hisui,91,stat_points,1,,48.7%,,,2,32,0,0,0,32
Arcanine-Hisui,91,stat_points,2,,11.0%,,,1,32,1,0,0,32
Arcanine-Hisui,91,stat_points,3,,6.1%,,,0,32,2,0,0,32
Arcanine-Hisui,91,stat_points,4,,5.1%,,,0,32,0,0,2,32
Arcanine-Hisui,91,stat_points,5,,3.0%,,,1,32,0,0,1,32
Arcanine-Hisui,91,stat_points,6,,2.3%,,,0,32,0,0,0,32
Arcanine-Hisui,91,stat_points,7,,2.0%,,,32,32,0,0,0,2
Arcanine-Hisui,91,stat_points,8,,1.7%,,,0,32,1,0,1,32
Arcanine-Hisui,91,stat_points,9,,1.3%,,,32,32,2,0,0,0
Arcanine-Hisui,91,stat_points,10,,1.3%,,,7,32,0,0,0,27
Arcanine-Hisui,91,ability,1,Rock Head,92.5%,,,,,,,,
Arcanine-Hisui,91,ability,2,Intimidate,6.0%,,,,,,,,
Arcanine-Hisui,91,ability,3,Flash Fire,1.5%,,,,,,,,
