pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ceruledge,56,move,1,Bitter Blade,96.6%,,,,,,,,
Ceruledge,56,move,2,Shadow Sneak,89.5%,,,,,,,,
Ceruledge,56,move,3,Poltergeist,78.6%,,,,,,,,
Ceruledge,56,move,4,Swords Dance,62.1%,,,,,,,,
Ceruledge,56,move,5,Close Combat,26.5%,,,,,,,,
Ceruledge,56,move,6,Destiny Bond,12.7%,,,,,,,,
Ceruledge,56,move,7,Bulk Up,10.6%,,,,,,,,
Ceruledge,56,move,8,Will-O-Wisp,5.7%,,,,,,,,
Ceruledge,56,move,9,Shadow Claw,2.1%,,,,,,,,
Ceruledge,56,move,10,Taunt,1.9%,,,,,,,,
Ceruledge,56,held_item,1,Focus Sash,73.4%,,,,,,,,
Ceruledge,56,held_item,2,Leftovers,6.5%,,,,,,,,
Ceruledge,56,held_item,3,Sitrus Berry,4.2%,,,,,,,,
Ceruledge,56,held_item,4,Life Orb,3.9%,,,,,,,,
Ceruledge,56,held_item,5,Air Balloon,2.2%,,,,,,,,
Ceruledge,56,held_item,6,Spell Tag,1.4%,,,,,,,,
Ceruledge,56,held_item,7,Choice Scarf,1.4%,,,,,,,,
Ceruledge,56,held_item,8,Shuca Berry,1.1%,,,,,,,,
Ceruledge,56,held_item,9,Charcoal,0.8%,,,,,,,,
Ceruledge,56,held_item,10,Colbur Berry,0.7%,,,,,,,,
Ceruledge,56,teammate,1,Garchomp,,,,,,,,,
Ceruledge,56,teammate,2,Primarina,,,,,,,,,
Ceruledge,56,teammate,3,Golisopod,,,,,,,,,
Ceruledge,56,teammate,4,Salamence,,,,,,,,,
Ceruledge,56,teammate,5,Lucario,,,,,,,,,
Ceruledge,56,teammate,6,Baxcalibur,,,,,,,,,
Ceruledge,56,teammate,7,Archaludon,,,,,,,,,
Ceruledge,56,teammate,8,Meowscarada,,,,,,,,,
Ceruledge,56,teammate,9,Rillaboom,,,,,,,,,
Ceruledge,56,teammate,10,Ninetales-Alola,,,,,,,,,
Ceruledge,56,stat_alignment,1,Adamant,74.6%,Attack,Sp. Atk,,,,,,
Ceruledge,56,stat_alignment,2,Jolly,16.8%,Speed,Sp. Atk,,,,,,
Ceruledge,56,stat_alignment,3,Impish,3.1%,Defense,Sp. Atk,,,,,,
Ceruledge,56,stat_alignment,4,Careful,2.5%,Sp. Def,Sp. Atk,,,,,,
Ceruledge,56,stat_alignment,5,Lonely,0.7%,Attack,Defense,,,,,,
Ceruledge,56,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,
Ceruledge,56,stat_alignment,7,Hasty,0.5%,Speed,Defense,,,,,,
Ceruledge,56,stat_alignment,8,Naive,0.4%,Speed,Sp. Def,,,,,,
Ceruledge,56,stat_alignment,9,Brave,0.3%,Attack,Speed,,,,,,
Ceruledge,56,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,
Ceruledge,56,stat_points,1,,31.3%,,,2,32,0,0,0,32
Ceruledge,56,stat_points,2,,16.6%,,,1,32,1,0,0,32
Ceruledge,56,stat_points,3,,7.3%,,,1,32,0,0,1,32
Ceruledge,56,stat_points,4,,7.2%,,,0,32,2,0,0,32
Ceruledge,56,stat_points,5,,4.5%,,,0,32,0,0,2,32
Ceruledge,56,stat_points,6,,1.9%,,,0,32,0,0,0,32
Ceruledge,56,stat_points,7,,1.5%,,,32,32,2,0,0,0
Ceruledge,56,stat_points,8,,1.5%,,,32,32,0,0,0,2
Ceruledge,56,stat_points,9,,1.1%,,,31,13,16,0,0,6
Ceruledge,56,stat_points,10,,0.8%,,,32,32,0,0,2,0
Ceruledge,56,ability,1,Weak Armor,71.5%,,,,,,,,
Ceruledge,56,ability,2,Flash Fire,28.5%,,,,,,,,
