pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Swalot,184,move,1,Toxic,45.5%,,,,,,,,
Swalot,184,move,2,Encore,43.0%,,,,,,,,
Swalot,184,move,3,Body Press,31.1%,,,,,,,,
Swalot,184,move,4,Acid Armor,29.1%,,,,,,,,
Swalot,184,move,5,Toxic Spikes,28.9%,,,,,,,,
Swalot,184,move,6,Destiny Bond,27.3%,,,,,,,,
Swalot,184,move,7,Yawn,25.9%,,,,,,,,
Swalot,184,move,8,Ice Beam,18.7%,,,,,,,,
Swalot,184,move,9,Knock Off,17.0%,,,,,,,,
Swalot,184,move,10,Pain Split,14.2%,,,,,,,,
Swalot,184,held_item,1,Leftovers,31.6%,,,,,,,,
Swalot,184,held_item,2,Air Balloon,23.2%,,,,,,,,
Swalot,184,held_item,3,Sitrus Berry,15.7%,,,,,,,,
Swalot,184,held_item,4,Chesto Berry,9.1%,,,,,,,,
Swalot,184,held_item,5,Rocky Helmet,7.2%,,,,,,,,
Swalot,184,held_item,6,Shuca Berry,2.8%,,,,,,,,
Swalot,184,held_item,7,Bright Powder,2.5%,,,,,,,,
Swalot,184,held_item,8,Red Card,1.6%,,,,,,,,
Swalot,184,held_item,9,Light Ball,1.4%,,,,,,,,
Swalot,184,held_item,10,Life Orb,0.9%,,,,,,,,
Swalot,184,teammate,1,Garchomp,,,,,,,,,
Swalot,184,teammate,2,Salamence,,,,,,,,,
Swalot,184,teammate,3,Lucario,,,,,,,,,
Swalot,184,teammate,4,Golisopod,,,,,,,,,
Swalot,184,teammate,5,Baxcalibur,,,,,,,,,
Swalot,184,teammate,6,Gyarados,,,,,,,,,
Swalot,184,teammate,7,Rillaboom,,,,,,,,,
Swalot,184,teammate,8,Kingambit,,,,,,,,,
Swalot,184,teammate,9,Forretress,,,,,,,,,
Swalot,184,teammate,10,Primarina,,,,,,,,,
Swalot,184,stat_alignment,1,Bold,30.1%,Defense,Attack,,,,,,
Swalot,184,stat_alignment,2,Impish,26.3%,Defense,Sp. Atk,,,,,,
Swalot,184,stat_alignment,3,Relaxed,11.9%,Defense,Speed,,,,,,
Swalot,184,stat_alignment,4,Calm,9.0%,Sp. Def,Attack,,,,,,
Swalot,184,stat_alignment,5,Careful,7.0%,Sp. Def,Sp. Atk,,,,,,
Swalot,184,stat_alignment,6,Modest,4.1%,Sp. Atk,Attack,,,,,,
Swalot,184,stat_alignment,7,Adamant,3.5%,Attack,Sp. Atk,,,,,,
Swalot,184,stat_alignment,8,Timid,2.1%,Speed,Attack,,,,,,
Swalot,184,stat_alignment,9,Sassy,1.8%,Sp. Def,Speed,,,,,,
Swalot,184,stat_alignment,10,Brave,1.4%,Attack,Speed,,,,,,
Swalot,184,stat_points,1,,39.9%,,,32,0,32,0,2,0
Swalot,184,stat_points,2,,7.9%,,,32,0,2,0,32,0
Swalot,184,stat_points,3,,4.0%,,,2,0,32,0,32,0
Swalot,184,stat_points,4,,2.7%,,,32,0,23,0,3,8
Swalot,184,stat_points,5,,2.3%,,,32,0,17,17,0,0
Swalot,184,stat_points,6,,1.8%,,,32,0,2,32,0,0
Swalot,184,stat_points,7,,1.8%,,,32,0,32,2,0,0
Swalot,184,stat_points,8,,1.6%,,,32,32,2,0,0,0
Swalot,184,stat_points,9,,1.6%,,,32,0,32,0,0,2
Swalot,184,stat_points,10,,1.5%,,,0,0,32,0,32,2
Swalot,184,ability,1,Liquid Ooze,53.7%,,,,,,,,
Swalot,184,ability,2,Sticky Hold,43.0%,,,,,,,,
Swalot,184,ability,3,Gluttony,3.3%,,,,,,,,
