pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Basculegion Female,68,move,1,Protect,57.7%,,,,,,,,,4020.23
Basculegion Female,68,move,2,Shadow Ball,51.2%,,,,,,,,,4020.23
Basculegion Female,68,move,3,Aqua Jet,48.0%,,,,,,,,,4020.23
Basculegion Female,68,move,4,Last Respects,47.7%,,,,,,,,,4020.23
Basculegion Female,68,move,5,Muddy Water,46.4%,,,,,,,,,4020.23
Basculegion Female,68,move,6,Wave Crash,39.3%,,,,,,,,,4025.73
Basculegion Female,68,move,7,Flip Turn,29.9%,,,,,,,,,4025.73
Basculegion Female,68,move,8,Ice Beam,25.6%,,,,,,,,,4025.73
Basculegion Female,68,move,9,Hydro Pump,13.0%,,,,,,,,,4025.73
Basculegion Female,68,move,10,Icy Wind,9.5%,,,,,,,,,4025.73
Basculegion Female,68,held_item,1,Choice Scarf,43.8%,,,,,,,,,4032.23
Basculegion Female,68,held_item,2,Life Orb,19.5%,,,,,,,,,4029.23
Basculegion Female,68,held_item,3,Mystic Water,19.0%,,,,,,,,,4029.23
Basculegion Female,68,held_item,4,Focus Sash,10.7%,,,,,,,,,4029.23
Basculegion Female,68,held_item,5,Sitrus Berry,1.8%,,,,,,,,,4029.23
Basculegion Female,68,held_item,6,Muscle Band,0.8%,,,,,,,,,4034.23
Basculegion Female,68,held_item,7,Wide Lens,0.8%,,,,,,,,,4034.23
Basculegion Female,68,held_item,8,Spell Tag,0.6%,,,,,,,,,4034.23
Basculegion Female,68,held_item,9,Colbur Berry,0.5%,,,,,,,,,4034.23
Basculegion Female,68,held_item,10,Kasib Berry,0.4%,,,,,,,,,4034.23
Basculegion Female,68,teammate,1,Whimsicott,,,,,,,,,,4037.73
Basculegion Female,68,teammate,2,Pelipper,,,,,,,,,,4037.73
Basculegion Female,68,teammate,3,Garchomp,,,,,,,,,,4037.73
Basculegion Female,68,teammate,4,Charizard,,,,,,,,,,4037.73
Basculegion Female,68,teammate,5,Sneasler,,,,,,,,,,4037.73
Basculegion Female,68,teammate,6,Archaludon,,,,,,,,,,4042.73
Basculegion Female,68,teammate,7,Kingambit,,,,,,,,,,4042.73
Basculegion Female,68,teammate,8,Sylveon,,,,,,,,,,4042.73
Basculegion Female,68,teammate,9,Swampert,,,,,,,,,,4042.73
Basculegion Female,68,teammate,10,Politoed,,,,,,,,,,4042.73
Basculegion Female,68,stat_alignment,1,Modest,42.4%,Sp. Atk,Attack,,,,,,,4046.23
Basculegion Female,68,stat_alignment,2,Adamant,24.3%,Attack,Sp. Atk,,,,,,,4046.23
Basculegion Female,68,stat_alignment,3,Jolly,17.1%,Speed,Sp. Atk,,,,,,,4046.23
Basculegion Female,68,stat_alignment,4,Timid,11.5%,Speed,Attack,,,,,,,4046.23
Basculegion Female,68,stat_alignment,5,Mild,1.2%,Sp. Atk,Defense,,,,,,,4046.23
Basculegion Female,68,stat_alignment,6,Quiet,1.1%,Sp. Atk,Speed,,,,,,,4051.23
Basculegion Female,68,stat_alignment,7,Brave,0.7%,Attack,Speed,,,,,,,4051.23
Basculegion Female,68,stat_alignment,8,Naive,0.5%,Speed,Sp. Def,,,,,,,4051.23
Basculegion Female,68,stat_alignment,9,Impish,0.4%,Defense,Sp. Atk,,,,,,,4051.23
Basculegion Female,68,stat_alignment,10,Rash,0.3%,Sp. Atk,Sp. Def,,,,,,,4051.23
Basculegion Female,68,stat_points,1,,23.2%,,,2,32,0,0,0,32,4054.73
Basculegion Female,68,stat_points,2,,19.8%,,,2,0,0,32,0,32,4060.23
Basculegion Female,68,stat_points,3,,10.0%,,,0,0,2,32,0,32,4054.73
Basculegion Female,68,stat_points,4,,6.1%,,,0,32,2,0,0,32,4054.73
Basculegion Female,68,stat_points,5,,3.0%,,,0,32,0,0,2,32,4054.73
Basculegion Female,68,stat_points,6,,2.4%,,,2,0,32,17,0,15,4060.23
Basculegion Female,68,stat_points,8,,1.3%,,,0,0,1,23,0,32,4066.23
Basculegion Female,68,stat_points,9,,1.3%,,,0,32,0,0,0,32,4066.23
Basculegion Female,68,stat_points,10,,1.1%,,,0,0,8,32,0,26,4066.23
Basculegion Female,68,stat_points,11,,1.1%,,,4,0,14,32,2,14,4066.23
Basculegion Female,68,stat_points,12,,1.0%,,,0,0,14,32,0,20,4066.23
Basculegion Female,68,ability,1,Adaptability,73.5%,,,,,,,,,4070.23
Basculegion Female,68,ability,2,Swift Swim,26.3%,,,,,,,,,4070.23
Basculegion Female,68,ability,3,Mold Breaker,0.3%,,,,,,,,,4070.23
