pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Hisuian Samurott,97,move,1,Sacred Sword,87.5%,,,,,,,,,5754.73
Hisuian Samurott,97,move,2,Sucker Punch,61.1%,,,,,,,,,5754.73
Hisuian Samurott,97,move,3,Ceaseless Edge,57.5%,,,,,,,,,5754.73
Hisuian Samurott,97,move,4,Aqua Cutter,50.0%,,,,,,,,,5754.73
Hisuian Samurott,97,move,5,Night Slash,33.6%,,,,,,,,,5754.73
Hisuian Samurott,97,move,6,Protect,32.7%,,,,,,,,,5759.73
Hisuian Samurott,97,move,7,Flip Turn,20.7%,,,,,,,,,5759.73
Hisuian Samurott,97,move,8,Detect,19.2%,,,,,,,,,5759.73
Hisuian Samurott,97,move,9,Razor Shell,18.4%,,,,,,,,,5759.73
Hisuian Samurott,97,move,10,Aqua Jet,9.3%,,,,,,,,,5759.73
Hisuian Samurott,97,held_item,1,Choice Scarf,22.8%,,,,,,,,,5763.23
Hisuian Samurott,97,held_item,2,Black Glasses,22.8%,,,,,,,,,5766.23
Hisuian Samurott,97,held_item,3,Life Orb,17.3%,,,,,,,,,5763.23
Hisuian Samurott,97,held_item,4,Focus Sash,16.3%,,,,,,,,,5763.23
Hisuian Samurott,97,held_item,5,Scope Lens,7.0%,,,,,,,,,5763.23
Hisuian Samurott,97,held_item,6,Expert Belt,4.8%,,,,,,,,,5768.23
Hisuian Samurott,97,held_item,7,Muscle Band,1.6%,,,,,,,,,5768.23
Hisuian Samurott,97,held_item,8,Chople Berry,1.6%,,,,,,,,,5768.23
Hisuian Samurott,97,held_item,9,Sitrus Berry,1.2%,,,,,,,,,5768.23
Hisuian Samurott,97,held_item,10,Leftovers,0.9%,,,,,,,,,5768.23
Hisuian Samurott,97,teammate,1,Garchomp,,,,,,,,,,5771.73
Hisuian Samurott,97,teammate,2,Metagross,,,,,,,,,,5771.73
Hisuian Samurott,97,teammate,3,Whimsicott,,,,,,,,,,5771.73
Hisuian Samurott,97,teammate,4,Sneasler,,,,,,,,,,5771.73
Hisuian Samurott,97,teammate,5,Sylveon,,,,,,,,,,5771.73
Hisuian Samurott,97,teammate,6,Sinistcha,,,,,,,,,,5776.73
Hisuian Samurott,97,teammate,7,Incineroar,,,,,,,,,,5776.73
Hisuian Samurott,97,teammate,8,Staraptor,,,,,,,,,,5776.73
Hisuian Samurott,97,teammate,9,Aerodactyl,,,,,,,,,,5776.73
Hisuian Samurott,97,teammate,10,Charizard,,,,,,,,,,5776.73
Hisuian Samurott,97,stat_alignment,1,Adamant,67.7%,Attack,Sp. Atk,,,,,,,5780.23
Hisuian Samurott,97,stat_alignment,2,Jolly,26.1%,Speed,Sp. Atk,,,,,,,5780.23
Hisuian Samurott,97,stat_alignment,3,Brave,2.1%,Attack,Speed,,,,,,,5780.23
Hisuian Samurott,97,stat_alignment,4,Timid,1.3%,Speed,Attack,,,,,,,5780.23
Hisuian Samurott,97,stat_alignment,5,Lonely,0.7%,Attack,Defense,,,,,,,5780.23
Hisuian Samurott,97,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,,5785.23
Hisuian Samurott,97,stat_alignment,7,Lax,0.4%,Defense,Sp. Def,,,,,,,5785.23
Hisuian Samurott,97,stat_alignment,8,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,,5785.23
Hisuian Samurott,97,stat_alignment,9,Naive,0.2%,Speed,Sp. Def,,,,,,,5785.23
Hisuian Samurott,97,stat_alignment,10,Impish,0.1%,Defense,Sp. Atk,,,,,,,5785.23
Hisuian Samurott,97,stat_points,1,,35.0%,,,2,32,0,0,0,32,5788.73
Hisuian Samurott,97,stat_points,2,,8.8%,,,32,32,2,0,0,0,5788.73
Hisuian Samurott,97,stat_points,3,,7.3%,,,0,32,0,0,2,32,5788.73
Hisuian Samurott,97,stat_points,4,,5.0%,,,0,32,2,0,0,32,5788.73
Hisuian Samurott,97,stat_points,5,,4.3%,,,20,32,0,0,0,14,5788.73
Hisuian Samurott,97,stat_points,6,,2.8%,,,0,32,1,0,1,32,5795.23
Hisuian Samurott,97,stat_points,7,,2.4%,,,,,0,0,0,2,5795.23
Hisuian Samurott,97,ability,1,Sharpness,99.5%,,,,,,,,,5804.73
Hisuian Samurott,97,ability,2,Torrent,0.5%,,,,,,,,,5804.73
