pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Alcremie,201,move,1,Calm Mind,79.6%,,,,,,,,
Alcremie,201,move,2,Recover,69.0%,,,,,,,,
Alcremie,201,move,3,Acid Armor,67.4%,,,,,,,,
Alcremie,201,move,4,Alluring Voice,55.0%,,,,,,,,
Alcremie,201,move,5,Mystical Fire,27.5%,,,,,,,,
Alcremie,201,move,6,Draining Kiss,22.2%,,,,,,,,
Alcremie,201,move,7,Stored Power,19.5%,,,,,,,,
Alcremie,201,move,8,Encore,8.5%,,,,,,,,
Alcremie,201,move,9,Giga Drain,8.0%,,,,,,,,
Alcremie,201,move,10,Dazzling Gleam,6.1%,,,,,,,,
Alcremie,201,held_item,1,Leftovers,51.3%,,,,,,,,
Alcremie,201,held_item,2,Sitrus Berry,15.1%,,,,,,,,
Alcremie,201,held_item,3,Rocky Helmet,6.4%,,,,,,,,
Alcremie,201,held_item,4,Life Orb,6.2%,,,,,,,,
Alcremie,201,held_item,5,Muscle Band,4.6%,,,,,,,,
Alcremie,201,held_item,6,Babiri Berry,4.3%,,,,,,,,
Alcremie,201,held_item,7,Quick Claw,2.6%,,,,,,,,
Alcremie,201,held_item,8,Focus Sash,2.3%,,,,,,,,
Alcremie,201,held_item,9,Big Root,1.5%,,,,,,,,
Alcremie,201,held_item,10,Bright Powder,1.3%,,,,,,,,
Alcremie,201,teammate,1,Garchomp,,,,,,,,,
Alcremie,201,teammate,2,Baxcalibur,,,,,,,,,
Alcremie,201,teammate,3,Cinderace,,,,,,,,,
Alcremie,201,teammate,4,Golisopod,,,,,,,,,
Alcremie,201,teammate,5,Lucario,,,,,,,,,
Alcremie,201,teammate,6,Archaludon,,,,,,,,,
Alcremie,201,teammate,7,Rillaboom,,,,,,,,,
Alcremie,201,teammate,8,Hippowdon,,,,,,,,,
Alcremie,201,teammate,9,Glimmora,,,,,,,,,
Alcremie,201,teammate,10,Basculegion,,,,,,,,,
Alcremie,201,stat_alignment,1,Bold,50.0%,Defense,Attack,,,,,,
Alcremie,201,stat_alignment,2,Calm,23.3%,Sp. Def,Attack,,,,,,
Alcremie,201,stat_alignment,3,Modest,15.0%,Sp. Atk,Attack,,,,,,
Alcremie,201,stat_alignment,4,Quiet,4.8%,Sp. Atk,Speed,,,,,,
Alcremie,201,stat_alignment,5,Adamant,4.6%,Attack,Sp. Atk,,,,,,
Alcremie,201,stat_alignment,6,Timid,1.0%,Speed,Attack,,,,,,
Alcremie,201,stat_alignment,7,Relaxed,0.5%,Defense,Speed,,,,,,
Alcremie,201,stat_alignment,8,Gentle,0.4%,Sp. Def,Defense,,,,,,
Alcremie,201,stat_alignment,9,Mild,0.3%,Sp. Atk,Defense,,,,,,
Alcremie,201,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,
Alcremie,201,stat_points,1,,27.2%,,,32,0,32,0,2,0
Alcremie,201,stat_points,2,,8.3%,,,32,0,2,0,32,0
Alcremie,201,stat_points,3,,6.2%,,,31,0,18,0,17,0
Alcremie,201,stat_points,4,,4.8%,,,24,0,10,32,0,0
Alcremie,201,stat_points,5,,4.6%,,,32,32,2,0,0,0
Alcremie,201,stat_points,6,,3.9%,,,2,0,0,32,0,32
Alcremie,201,stat_points,7,,3.9%,,,31,0,32,0,3,0
Alcremie,201,stat_points,8,,3.6%,,,32,0,32,0,0,0
Alcremie,201,stat_points,9,,2.9%,,,32,0,32,2,0,0
Alcremie,201,stat_points,10,,2.8%,,,2,0,32,0,32,0
Alcremie,201,ability,1,Aroma Veil,71.6%,,,,,,,,
Alcremie,201,ability,2,Sweet Veil,28.4%,,,,,,,,
