pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Arbok,227,move,1,Glare,73.8%,,,,,,,,
Arbok,227,move,2,Toxic Spikes,58.0%,,,,,,,,
Arbok,227,move,3,Dragon Tail,48.0%,,,,,,,,
Arbok,227,move,4,Gunk Shot,31.2%,,,,,,,,
Arbok,227,move,5,Knock Off,24.0%,,,,,,,,
Arbok,227,move,6,Pain Split,22.7%,,,,,,,,
Arbok,227,move,7,Earthquake,14.3%,,,,,,,,
Arbok,227,move,8,Toxic,12.2%,,,,,,,,
Arbok,227,move,9,Poison Jab,11.0%,,,,,,,,
Arbok,227,move,10,Switcheroo,9.6%,,,,,,,,
Arbok,227,held_item,1,Focus Sash,31.7%,,,,,,,,
Arbok,227,held_item,2,Sitrus Berry,13.0%,,,,,,,,
Arbok,227,held_item,3,Shuca Berry,10.5%,,,,,,,,
Arbok,227,held_item,4,Choice Scarf,9.2%,,,,,,,,
Arbok,227,held_item,5,Leftovers,7.9%,,,,,,,,
Arbok,227,held_item,6,Wide Lens,7.1%,,,,,,,,
Arbok,227,held_item,7,Air Balloon,7.0%,,,,,,,,
Arbok,227,held_item,8,Rocky Helmet,2.6%,,,,,,,,
Arbok,227,held_item,9,Poison Barb,2.1%,,,,,,,,
Arbok,227,held_item,10,Red Card,1.8%,,,,,,,,
Arbok,227,teammate,1,Garchomp,,,,,,,,,
Arbok,227,teammate,2,Salamence,,,,,,,,,
Arbok,227,teammate,3,Charizard,,,,,,,,,
Arbok,227,teammate,4,Gengar,,,,,,,,,
Arbok,227,teammate,5,Baxcalibur,,,,,,,,,
Arbok,227,teammate,6,Overqwil,,,,,,,,,
Arbok,227,teammate,7,Venusaur,,,,,,,,,
Arbok,227,teammate,8,Golisopod,,,,,,,,,
Arbok,227,teammate,9,Clefable,,,,,,,,,
Arbok,227,teammate,10,Volcarona,,,,,,,,,
Arbok,227,stat_alignment,1,Jolly,37.5%,Speed,Sp. Atk,,,,,,
Arbok,227,stat_alignment,2,Impish,31.0%,Defense,Sp. Atk,,,,,,
Arbok,227,stat_alignment,3,Adamant,15.0%,Attack,Sp. Atk,,,,,,
Arbok,227,stat_alignment,4,Careful,11.8%,Sp. Def,Sp. Atk,,,,,,
Arbok,227,stat_alignment,5,Rash,2.0%,Sp. Atk,Sp. Def,,,,,,
Arbok,227,stat_alignment,6,Bold,1.8%,Defense,Attack,,,,,,
Arbok,227,stat_alignment,7,Relaxed,0.4%,Defense,Speed,,,,,,
Arbok,227,stat_alignment,8,Brave,0.2%,Attack,Speed,,,,,,
Arbok,227,stat_alignment,9,Timid,0.2%,Speed,Attack,,,,,,
Arbok,227,stat_alignment,10,Calm,0.1%,Sp. Def,Attack,,,,,,
Arbok,227,stat_points,1,,12.3%,,,2,32,0,0,0,32
Arbok,227,stat_points,2,,10.2%,,,32,0,32,0,2,0
Arbok,227,stat_points,3,,9.8%,,,32,0,2,0,0,32
Arbok,227,stat_points,4,,8.2%,,,32,0,32,0,0,2
Arbok,227,stat_points,5,,5.9%,,,0,0,32,0,2,32
Arbok,227,stat_points,6,,5.3%,,,0,32,0,0,2,32
Arbok,227,stat_points,7,,3.4%,,,32,0,0,0,31,3
Arbok,227,stat_points,8,,2.9%,,,0,2,0,0,32,32
Arbok,227,stat_points,9,,2.7%,,,32,32,0,0,2,0
Arbok,227,stat_points,10,,2.0%,,,2,0,32,32,0,0
Arbok,227,ability,1,Intimidate,95.4%,,,,,,,,
Arbok,227,ability,2,Shed Skin,4.1%,,,,,,,,
Arbok,227,ability,3,Unnerve,0.5%,,,,,,,,
