pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points,source_time_seconds
Floette,52,move,1,Moonblast,86.1%,,,,,,,,,11828.73
Floette,52,move,2,Calm Mind,84.8%,,,,,,,,,11828.73
Floette,52,move,3,Draining Kiss,75.4%,,,,,,,,,11828.73
Floette,52,move,4,Light of Ruin,53.4%,,,,,,,,,11828.73
Floette,52,move,5,Psychic,33.2%,,,,,,,,,11828.73
Floette,52,move,6,Synthesis,19.5%,,,,,,,,,11834.23
Floette,52,move,7,Substitute,8.4%,,,,,,,,,11834.23
Floette,52,move,8,Giga Drain,6.2%,,,,,,,,,11834.23
Floette,52,move,9,Charm,4.7%,,,,,,,,,11834.23
Floette,52,move,10,Energy Ball,3.8%,,,,,,,,,11834.23
Floette,52,held_item,1,Floettite,95.9%,,,,,,,,,11837.73
Floette,52,held_item,2,Choice Scarf,3.4%,,,,,,,,,11837.73
Floette,52,held_item,3,Life Orb,0.2%,,,,,,,,,11837.73
Floette,52,held_item,4,Sitrus Berry,0.1%,,,,,,,,,11837.73
Floette,52,held_item,5,Fairy Feather,0.1%,,,,,,,,,11837.73
Floette,52,held_item,6,Lopunnite,0.1%,,,,,,,,,11842.73
Floette,52,held_item,7,Focus Sash,0.0%,,,,,,,,,11842.73
Floette,52,held_item,8,Charizardite,0.0%,,,,,,,,,11842.73
Floette,52,held_item,9,Quick Claw,0.0%,,,,,,,,,11842.73
Floette,52,held_item,10,Big Root,0.0%,,,,,,,,,11842.73
Floette,52,teammate,1,Garchomp,,,,,,,,,,11846.23
Floette,52,teammate,2,Archaludon,,,,,,,,,,11846.23
Floette,52,teammate,3,Meowscarada,,,,,,,,,,11846.23
Floette,52,teammate,4,Basculegion,,,,,,,,,,11846.23
Floette,52,teammate,5,Blaziken,,,,,,,,,,11846.23
Floette,52,teammate,6,Rotom Wash,,,,,,,,,,11851.23
Floette,52,teammate,7,Swampert,,,,,,,,,,11851.23
Floette,52,teammate,8,Aegislash Shield Forme,,,,,,,,,,11851.23
Floette,52,teammate,9,Staraptor,,,,,,,,,,11851.23
Floette,52,teammate,10,Pelipper,,,,,,,,,,11851.23
Floette,52,stat_alignment,1,Timid,50.5%,Speed,Attack,,,,,,,11854.73
Floette,52,stat_alignment,2,Modest,43.7%,Sp. Atk,Attack,,,,,,,11854.73
Floette,52,stat_alignment,3,Bold,3.1%,Defense,Attack,,,,,,,11854.73
Floette,52,stat_alignment,4,Calm,0.4%,Sp. Def,Attack,,,,,,,11854.73
Floette,52,stat_alignment,5,Jolly,0.2%,Speed,Sp. Atk,,,,,,,11854.73
Floette,52,stat_alignment,6,Quiet,0.1%,Sp. Atk,Speed,,,,,,,11859.73
Floette,52,stat_alignment,7,Relaxed,0.0%,Defense,Speed,,,,,,,11859.73
Floette,52,stat_alignment,8,Adamant,0.0%,Attack,Sp. Atk,,,,,,,11859.73
Floette,52,stat_alignment,9,Serious,0.0%,,,,,,,,,11859.73
Floette,52,stat_alignment,10,Naive,0.0%,Speed,Sp. Def,,,,,,,11859.73
Floette,52,stat_points,1,,22.8%,,,2,0,0,32,0,32,11863.23
Floette,52,stat_points,2,,5.6%,,,26,0,0,8,0,32,11863.23
Floette,52,stat_points,3,,5.4%,,,0,0,6,28,0,32,11863.23
Floette,52,stat_points,4,,5.0%,,,0,0,10,24,0,32,11863.23
Floette,52,stat_points,5,,4.7%,,,32,0,29,5,0,0,11863.23
Floette,52,stat_points,8,,1.8%,,,32,0,26,3,0,3,11875.23
Floette,52,stat_points,9,,1.5%,,,32,0,32,0,0,2,11875.23
Floette,52,stat_points,10,,1.4%,,,26,0,6,16,0,18,11875.23
Floette,52,stat_points,11,,1.3%,,,2,0,1,21,0,32,11875.23
Floette,52,stat_points,12,,1.2%,,,32,0,13,0,1,20,11875.23
Floette,52,ability,1,Flower Veil,97.3%,,,,,,,,,11882.73
Floette,52,ability,2,Symbiosis,2.7%,,,,,,,,,11882.73
