pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Florges Red Flower,209,move,1,Calm Mind,79.1%,,,,,,,,
Florges Red Flower,209,move,2,Moonblast,77.0%,,,,,,,,
Florges Red Flower,209,move,3,Synthesis,53.8%,,,,,,,,
Florges Red Flower,209,move,4,Giga Drain,42.1%,,,,,,,,
Florges Red Flower,209,move,5,Baton Pass,4.9%,,,,,,,,
Florges Red Flower,209,move,6,Draining Kiss,23.0%,,,,,,,,
Florges Red Flower,209,move,7,Wish,11.1%,,,,,,,,
Florges Red Flower,209,move,8,Psychic,11.5%,,,,,,,,
Florges Red Flower,209,move,9,Chilling Water,10.6%,,,,,,,,
Florges Red Flower,209,move,10,Protect,9.8%,,,,,,,,
Florges Red Flower,209,held_item,1,Leftovers,47.5%,,,,,,,,
Florges Red Flower,209,held_item,2,Sitrus Berry,18.3%,,,,,,,,
Florges Red Flower,209,held_item,3,Big Root,25.8%,,,,,,,,
Florges Red Flower,209,held_item,4,Lopunnite,2.5%,,,,,,,,
Florges Red Flower,209,held_item,5,Choice Scarf,1.5%,,,,,,,,
Florges Red Flower,209,held_item,6,Mental Herb,1.1%,,,,,,,,
Florges Red Flower,209,held_item,7,Lum Berry,0.9%,,,,,,,,
Florges Red Flower,209,held_item,8,Fairy Feather,0.9%,,,,,,,,
Florges Red Flower,209,held_item,9,Life Orb,0.6%,,,,,,,,
Florges Red Flower,209,held_item,10,Expert Belt,0.6%,,,,,,,,
Florges Red Flower,209,teammate,1,Golisopod,,,,,,,,,
Florges Red Flower,209,teammate,2,Garchomp,,,,,,,,,
Florges Red Flower,209,teammate,3,Baxcalibur,,,,,,,,,
Florges Red Flower,209,teammate,4,Salamence,,,,,,,,,
Florges Red Flower,209,teammate,5,Scolipede,,,,,,,,,
Florges Red Flower,209,teammate,6,Gyarados,,,,,,,,,
Florges Red Flower,209,teammate,7,Archaludon,,,,,,,,,
Florges Red Flower,209,teammate,8,Corviknight,,,,,,,,,
Florges Red Flower,209,teammate,9,Hydreigon,,,,,,,,,
Florges Red Flower,209,teammate,10,Glimmora,,,,,,,,,
Florges Red Flower,209,stat_alignment,1,Calm,49.4%,Sp. Def,Attack,,,,,,
Florges Red Flower,209,stat_alignment,2,Bold,25.3%,Defense,Attack,,,,,,
Florges Red Flower,209,stat_alignment,3,Modest,24.0%,Sp. Atk,Attack,,,,,,
Florges Red Flower,209,stat_alignment,4,Mild,0.8%,Sp. Atk,Defense,,,,,,
Florges Red Flower,209,stat_alignment,5,Timid,0.6%,Speed,Attack,,,,,,
Florges Red Flower,209,stat_points,1,,11.9%,,,32,0,0,2,32,0
Florges Red Flower,209,stat_points,2,,10.6%,,,32,0,2,0,32,0
Florges Red Flower,209,stat_points,3,,9.6%,,,32,0,32,0,0,0
Florges Red Flower,209,stat_points,4,,9.1%,,,0,0,32,32,2,0
Florges Red Flower,209,stat_points,5,,7.0%,,,32,0,4,6,23,0
Florges Red Flower,209,stat_points,6,,5.7%,,,32,0,26,0,0,8
Florges Red Flower,209,stat_points,7,,4.5%,,,32,0,8,0,26,0
Florges Red Flower,209,stat_points,8,,4.0%,,,32,0,32,2,0,0
Florges Red Flower,209,stat_points,9,,3.4%,,,32,0,18,0,16,0
Florges Red Flower,209,stat_points,10,,2.8%,,,32,0,0,24,10,0
Florges Red Flower,209,ability,1,Flower Veil,80.6%,,,,,,,,
Florges Red Flower,209,ability,2,Symbiosis,19.4%,,,,,,,,
