pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Garbodor,242,move,1,Gunk Shot,70.9%,,,,,,,,
Garbodor,242,move,2,Explosion,67.3%,,,,,,,,
Garbodor,242,move,3,Stomping Tantrum,37.8%,,,,,,,,
Garbodor,242,move,4,Toxic Spikes,35.3%,,,,,,,,
Garbodor,242,move,5,Pain Split,21.7%,,,,,,,,
Garbodor,242,move,6,Drain Punch,21.0%,,,,,,,,
Garbodor,242,move,7,Seed Bomb,20.1%,,,,,,,,
Garbodor,242,move,8,Spikes,15.9%,,,,,,,,
Garbodor,242,move,9,Toxic,14.9%,,,,,,,,
Garbodor,242,move,10,Fling,14.2%,,,,,,,,
Garbodor,242,held_item,1,Focus Sash,20.4%,,,,,,,,
Garbodor,242,held_item,2,Silk Scarf,16.5%,,,,,,,,
Garbodor,242,held_item,3,Light Ball,14.0%,,,,,,,,
Garbodor,242,held_item,4,Normal Gem,9.8%,,,,,,,,
Garbodor,242,held_item,5,Sitrus Berry,5.6%,,,,,,,,
Garbodor,242,held_item,6,Leftovers,5.4%,,,,,,,,
Garbodor,242,held_item,7,Rocky Helmet,4.8%,,,,,,,,
Garbodor,242,held_item,8,Air Balloon,4.2%,,,,,,,,
Garbodor,242,held_item,9,Shuca Berry,4.1%,,,,,,,,
Garbodor,242,held_item,10,Life Orb,2.8%,,,,,,,,
Garbodor,242,teammate,1,Basculegion,,,,,,,,,
Garbodor,242,teammate,2,Mimikyu,,,,,,,,,
Garbodor,242,teammate,3,Lucario,,,,,,,,,
Garbodor,242,teammate,4,Metagross,,,,,,,,,
Garbodor,242,teammate,5,Luxray,,,,,,,,,
Garbodor,242,teammate,6,Rillaboom,,,,,,,,,
Garbodor,242,teammate,7,Overqwil,,,,,,,,,
Garbodor,242,teammate,8,Hippowdon,,,,,,,,,
Garbodor,242,teammate,9,Garchomp,,,,,,,,,
Garbodor,242,teammate,10,Scolipede,,,,,,,,,
Garbodor,242,stat_alignment,1,Adamant,59.3%,Attack,Sp. Atk,,,,,,
Garbodor,242,stat_alignment,2,Impish,18.4%,Defense,Sp. Atk,,,,,,
Garbodor,242,stat_alignment,3,Careful,6.9%,Sp. Def,Sp. Atk,,,,,,
Garbodor,242,stat_alignment,4,Jolly,5.7%,Speed,Sp. Atk,,,,,,
Garbodor,242,stat_alignment,5,Brave,3.9%,Attack,Speed,,,,,,
Garbodor,242,stat_alignment,6,Calm,1.0%,Sp. Def,Attack,,,,,,
Garbodor,242,stat_alignment,7,Naughty,0.9%,Attack,Sp. Def,,,,,,
Garbodor,242,stat_alignment,8,Lonely,0.6%,Attack,Defense,,,,,,
Garbodor,242,stat_alignment,9,Relaxed,0.6%,Defense,Speed,,,,,,
Garbodor,242,stat_alignment,10,Timid,0.6%,Speed,Attack,,,,,,
Garbodor,242,stat_points,1,,28.5%,,,2,32,0,0,0,32
Garbodor,242,stat_points,2,,9.5%,,,2,32,32,0,0,0
Garbodor,242,stat_points,3,,8.7%,,,30,0,28,0,0,8
Garbodor,242,stat_points,4,,7.6%,,,32,32,2,0,0,0
Garbodor,242,stat_points,5,,5.6%,,,32,0,32,0,2,0
Garbodor,242,stat_points,6,,2.4%,,,32,32,0,0,0,2
Garbodor,242,stat_points,7,,1.8%,,,6,25,32,0,0,3
Garbodor,242,stat_points,8,,1.6%,,,0,32,0,0,2,32
Garbodor,242,stat_points,9,,1.6%,,,2,0,32,0,32,0
Garbodor,242,stat_points,10,,1.3%,,,32,0,18,0,16,0
Garbodor,242,ability,1,Weak Armor,67.9%,,,,,,,,
Garbodor,242,ability,2,Aftermath,27.1%,,,,,,,,
Garbodor,242,ability,3,Stench,5.0%,,,,,,,,
