pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist-Large,261,move,1,Leech Seed,77.7%,,,,,,,,
Gourgeist-Large,261,move,2,Will-O-Wisp,75.5%,,,,,,,,
Gourgeist-Large,261,move,3,Poltergeist,65.1%,,,,,,,,
Gourgeist-Large,261,move,4,Protect,35.4%,,,,,,,,
Gourgeist-Large,261,move,5,Power Whip,33.2%,,,,,,,,
Gourgeist-Large,261,move,6,Trick Room,27.2%,,,,,,,,
Gourgeist-Large,261,move,7,Curse,18.0%,,,,,,,,
Gourgeist-Large,261,move,8,Explosion,17.4%,,,,,,,,
Gourgeist-Large,261,move,9,Destiny Bond,10.9%,,,,,,,,
Gourgeist-Large,261,move,10,Disable,7.1%,,,,,,,,
Gourgeist-Large,261,held_item,1,Leftovers,38.1%,,,,,,,,
Gourgeist-Large,261,held_item,2,Rocky Helmet,16.6%,,,,,,,,
Gourgeist-Large,261,held_item,3,Wide Lens,11.4%,,,,,,,,
Gourgeist-Large,261,held_item,4,Normal Gem,10.1%,,,,,,,,
Gourgeist-Large,261,held_item,5,Focus Sash,9.5%,,,,,,,,
Gourgeist-Large,261,held_item,6,Sitrus Berry,4.4%,,,,,,,,
Gourgeist-Large,261,held_item,7,Quick Claw,3.3%,,,,,,,,
Gourgeist-Large,261,held_item,8,Air Balloon,1.6%,,,,,,,,
Gourgeist-Large,261,held_item,9,Red Card,1.6%,,,,,,,,
Gourgeist-Large,261,held_item,10,Kasib Berry,1.1%,,,,,,,,
Gourgeist-Large,261,teammate,1,Baxcalibur,,,,,,,,,
Gourgeist-Large,261,teammate,2,Garchomp,,,,,,,,,
Gourgeist-Large,261,teammate,3,Lucario,,,,,,,,,
Gourgeist-Large,261,teammate,4,Salamence,,,,,,,,,
Gourgeist-Large,261,teammate,5,Scovillain,,,,,,,,,
Gourgeist-Large,261,teammate,6,Primarina,,,,,,,,,
Gourgeist-Large,261,teammate,7,Dragonite,,,,,,,,,
Gourgeist-Large,261,teammate,8,Houndoom,,,,,,,,,
Gourgeist-Large,261,teammate,9,Cinderace,,,,,,,,,
Gourgeist-Large,261,teammate,10,Annihilape,,,,,,,,,
Gourgeist-Large,261,stat_alignment,1,Impish,54.0%,Defense,Sp. Atk,,,,,,
Gourgeist-Large,261,stat_alignment,2,Adamant,18.3%,Attack,Sp. Atk,,,,,,
Gourgeist-Large,261,stat_alignment,3,Bold,9.3%,Defense,Attack,,,,,,
Gourgeist-Large,261,stat_alignment,4,Brave,5.2%,Attack,Speed,,,,,,
Gourgeist-Large,261,stat_alignment,5,Careful,4.1%,Sp. Def,Sp. Atk,,,,,,
Gourgeist-Large,261,stat_alignment,6,Naughty,4.1%,Attack,Sp. Def,,,,,,
Gourgeist-Large,261,stat_alignment,7,Relaxed,3.3%,Defense,Speed,,,,,,
Gourgeist-Large,261,stat_alignment,8,Naive,0.5%,Speed,Sp. Def,,,,,,
Gourgeist-Large,261,stat_alignment,9,Modest,0.5%,Sp. Atk,Attack,,,,,,
Gourgeist-Large,261,stat_alignment,10,Sassy,0.5%,Sp. Def,Speed,,,,,,
Gourgeist-Large,261,stat_points,1,,41.7%,,,32,0,32,0,2,0
Gourgeist-Large,261,stat_points,2,,13.6%,,,32,32,2,0,0,0
Gourgeist-Large,261,stat_points,3,,10.1%,,,29,0,25,0,4,8
Gourgeist-Large,261,stat_points,4,,4.4%,,,32,0,32,0,0,2
Gourgeist-Large,261,stat_points,5,,3.5%,,,12,10,12,0,32,0
Gourgeist-Large,261,stat_points,6,,3.5%,,,32,32,0,0,2,0
Gourgeist-Large,261,stat_points,7,,3.3%,,,32,32,0,0,0,2
Gourgeist-Large,261,stat_points,8,,2.5%,,,0,32,32,0,0,0
Gourgeist-Large,261,stat_points,9,,2.2%,,,31,0,32,0,3,0
Gourgeist-Large,261,stat_points,10,,1.9%,,,31,0,32,0,1,2
Gourgeist-Large,261,ability,1,Insomnia,73.3%,,,,,,,,
Gourgeist-Large,261,ability,2,Frisk,23.7%,,,,,,,,
Gourgeist-Large,261,ability,3,Pickup,3.0%,,,,,,,,
