pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Arcanine,101,move,1,Flare Blitz,97.1%,,,,,,,,
Hisuian Arcanine,101,move,2,Head Smash,91.9%,,,,,,,,
Hisuian Arcanine,101,move,3,Extreme Speed,62.3%,,,,,,,,
Hisuian Arcanine,101,move,4,Wild Charge,51.2%,,,,,,,,
Hisuian Arcanine,101,move,5,Close Combat,32.4%,,,,,,,,
Hisuian Arcanine,101,move,6,Stealth Rock,10.1%,,,,,,,,
Hisuian Arcanine,101,move,7,Psychic Fangs,8.0%,,,,,,,,
Hisuian Arcanine,101,move,8,Will-O-Wisp,6.3%,,,,,,,,
Hisuian Arcanine,101,move,9,Morning Sun,6.1%,,,,,,,,
Hisuian Arcanine,101,move,10,Outrage,3.7%,,,,,,,,
Hisuian Arcanine,101,held_item,1,Focus Sash,36.2%,,,,,,,,
Hisuian Arcanine,101,held_item,2,Choice Scarf,34.5%,,,,,,,,
Hisuian Arcanine,101,held_item,3,Life Orb,11.5%,,,,,,,,
Hisuian Arcanine,101,held_item,4,Sitrus Berry,3.7%,,,,,,,,
Hisuian Arcanine,101,held_item,5,Muscle Band,2.0%,,,,,,,,
Hisuian Arcanine,101,held_item,6,Quick Claw,1.2%,,,,,,,,
Hisuian Arcanine,101,held_item,7,Wide Lens,1.0%,,,,,,,,
Hisuian Arcanine,101,held_item,8,Leftovers,1.0%,,,,,,,,
Hisuian Arcanine,101,held_item,9,Charcoal,0.9%,,,,,,,,
Hisuian Arcanine,101,held_item,10,Hard Stone,0.9%,,,,,,,,
Hisuian Arcanine,101,teammate,1,Garchomp,,,,,,,,,
Hisuian Arcanine,101,teammate,2,Metagross,,,,,,,,,
Hisuian Arcanine,101,teammate,3,Meowscarada,,,,,,,,,
Hisuian Arcanine,101,teammate,4,Raichu,,,,,,,,,
Hisuian Arcanine,101,teammate,5,Mimikyu,,,,,,,,,
Hisuian Arcanine,101,teammate,6,Staraptor,,,,,,,,,
Hisuian Arcanine,101,teammate,7,Dragonite,,,,,,,,,
Hisuian Arcanine,101,teammate,8,Gyarados,,,,,,,,,
Hisuian Arcanine,101,teammate,9,Meganium,,,,,,,,,
Hisuian Arcanine,101,teammate,10,Primarina,,,,,,,,,
Hisuian Arcanine,101,stat_alignment,1,Adamant,66.6%,Attack,Sp. Atk,,,,,,
Hisuian Arcanine,101,stat_alignment,2,Jolly,25.8%,Speed,Sp. Atk,,,,,,
Hisuian Arcanine,101,stat_alignment,3,Careful,2.1%,Sp. Def,Sp. Atk,,,,,,
Hisuian Arcanine,101,stat_alignment,4,Naughty,1.1%,Attack,Sp. Def,,,,,,
Hisuian Arcanine,101,stat_alignment,5,Impish,0.8%,Defense,Sp. Atk,,,,,,
Hisuian Arcanine,101,stat_alignment,6,Lonely,0.7%,Attack,Defense,,,,,,
Hisuian Arcanine,101,stat_alignment,7,Naive,0.5%,Speed,Sp. Def,,,,,,
Hisuian Arcanine,101,stat_alignment,8,Hasty,0.5%,Speed,Defense,,,,,,
Hisuian Arcanine,101,stat_alignment,9,Brave,0.4%,Attack,Speed,,,,,,
Hisuian Arcanine,101,stat_alignment,10,Bold,0.3%,Defense,Attack,,,,,,
Hisuian Arcanine,101,stat_points,1,,47.0%,,,2,32,0,0,0,32
Hisuian Arcanine,101,stat_points,2,,9.0%,,,1,32,1,0,0,32
Hisuian Arcanine,101,stat_points,3,,6.6%,,,0,32,0,0,2,32
Hisuian Arcanine,101,stat_points,4,,5.7%,,,0,32,2,0,0,32
Hisuian Arcanine,101,stat_points,5,,3.4%,,,0,32,0,0,0,32
Hisuian Arcanine,101,stat_points,6,,1.6%,,,32,32,0,0,0,2
Hisuian Arcanine,101,stat_points,7,,1.0%,,,32,32,2,0,0,0
Hisuian Arcanine,101,stat_points,8,,1.0%,,,5,32,1,0,0,28
Hisuian Arcanine,101,ability,1,Rock Head,93.5%,,,,,,,,
Hisuian Arcanine,101,ability,2,Intimidate,5.5%,,,,,,,,
Hisuian Arcanine,101,ability,3,Flash Fire,1.0%,,,,,,,,
