pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Liepard,183,move,1,Encore,86.2%,,,,,,,,
Liepard,183,move,2,Foul Play,82.2%,,,,,,,,
Liepard,183,move,3,Copycat,73.7%,,,,,,,,
Liepard,183,move,4,Protect,61.4%,,,,,,,,
Liepard,183,move,5,Taunt,12.1%,,,,,,,,
Liepard,183,move,6,Yawn,12.0%,,,,,,,,
Liepard,183,move,7,Fake Out,8.9%,,,,,,,,
Liepard,183,move,8,Substitute,8.5%,,,,,,,,
Liepard,183,move,9,Baton Pass,8.2%,,,,,,,,
Liepard,183,move,10,Thunder Wave,7.4%,,,,,,,,
Liepard,183,held_item,1,Focus Sash,40.1%,,,,,,,,
Liepard,183,held_item,2,Sitrus Berry,16.6%,,,,,,,,
Liepard,183,held_item,3,Leftovers,11.2%,,,,,,,,
Liepard,183,held_item,4,Bright Powder,5.5%,,,,,,,,
Liepard,183,held_item,5,Eject Button,5.4%,,,,,,,,
Liepard,183,held_item,6,Lum Berry,2.9%,,,,,,,,
Liepard,183,held_item,7,Choice Scarf,2.2%,,,,,,,,
Liepard,183,held_item,8,Mental Herb,2.1%,,,,,,,,
Liepard,183,held_item,9,Black Glasses,2.0%,,,,,,,,
Liepard,183,held_item,10,Red Card,1.7%,,,,,,,,
Liepard,183,teammate,1,Garchomp,,,,,,,,,
Liepard,183,teammate,2,Salamence,,,,,,,,,
Liepard,183,teammate,3,Golisopod,,,,,,,,,
Liepard,183,teammate,4,Lucario,,,,,,,,,
Liepard,183,teammate,5,Baxcalibur,,,,,,,,,
Liepard,183,teammate,6,Primarina,,,,,,,,,
Liepard,183,teammate,7,Meowscarada,,,,,,,,,
Liepard,183,teammate,8,Pawmot,,,,,,,,,
Liepard,183,teammate,9,Cinderace,,,,,,,,,
Liepard,183,teammate,10,Rillaboom,,,,,,,,,
Liepard,183,stat_alignment,1,Bold,26.6%,Defense,Attack,,,,,,
Liepard,183,stat_alignment,2,Jolly,16.8%,Speed,Sp. Atk,,,,,,
Liepard,183,stat_alignment,3,Impish,16.6%,Defense,Sp. Atk,,,,,,
Liepard,183,stat_alignment,4,Relaxed,9.7%,Defense,Speed,,,,,,
Liepard,183,stat_alignment,5,Timid,6.6%,Speed,Attack,,,,,,
Liepard,183,stat_alignment,6,Adamant,6.6%,Attack,Sp. Atk,,,,,,
Liepard,183,stat_alignment,7,Careful,2.6%,Sp. Def,Sp. Atk,,,,,,
Liepard,183,stat_alignment,8,Naive,1.7%,Speed,Sp. Def,,,,,,
Liepard,183,stat_alignment,9,Brave,1.6%,Attack,Speed,,,,,,
Liepard,183,stat_alignment,10,Calm,1.6%,Sp. Def,Attack,,,,,,
Liepard,183,stat_points,1,,36.4%,,,32,0,32,0,2,0
Liepard,183,stat_points,2,,4.9%,,,2,32,0,0,0,32
Liepard,183,stat_points,3,,4.1%,,,32,0,2,0,0,32
Liepard,183,stat_points,4,,3.9%,,,32,0,1,0,1,32
Liepard,183,stat_points,5,,3.4%,,,32,0,30,0,4,0
Liepard,183,stat_points,6,,2.8%,,,32,0,0,0,2,32
Liepard,183,stat_points,7,,2.5%,,,2,0,32,0,32,0
Liepard,183,stat_points,8,,2.4%,,,32,0,32,0,0,2
Liepard,183,stat_points,9,,1.9%,,,32,2,0,0,0,32
Liepard,183,stat_points,10,,1.7%,,,2,32,0,32,0,0
Liepard,183,ability,1,Prankster,95.6%,,,,,,,,
Liepard,183,ability,2,Unburden,4.2%,,,,,,,,
Liepard,183,ability,3,Limber,0.2%,,,,,,,,
