pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lycanroc-Midnight,251,move,1,Stone Edge,79.6%,,,,,,,,
Lycanroc-Midnight,251,move,2,Sucker Punch,60.4%,,,,,,,,
Lycanroc-Midnight,251,move,3,Endeavor,41.4%,,,,,,,,
Lycanroc-Midnight,251,move,4,Counter,35.0%,,,,,,,,
Lycanroc-Midnight,251,move,5,Stealth Rock,33.6%,,,,,,,,
Lycanroc-Midnight,251,move,6,Taunt,22.7%,,,,,,,,
Lycanroc-Midnight,251,move,7,Close Combat,18.8%,,,,,,,,
Lycanroc-Midnight,251,move,8,Fire Punch,18.0%,,,,,,,,
Lycanroc-Midnight,251,move,9,Upper Hand,15.2%,,,,,,,,
Lycanroc-Midnight,251,move,10,Iron Tail,12.6%,,,,,,,,
Lycanroc-Midnight,251,held_item,1,Focus Sash,72.3%,,,,,,,,
Lycanroc-Midnight,251,held_item,2,Choice Scarf,9.6%,,,,,,,,
Lycanroc-Midnight,251,held_item,3,Scope Lens,9.1%,,,,,,,,
Lycanroc-Midnight,251,held_item,4,Quick Claw,4.6%,,,,,,,,
Lycanroc-Midnight,251,held_item,5,Air Balloon,2.4%,,,,,,,,
Lycanroc-Midnight,251,held_item,6,Life Orb,1.1%,,,,,,,,
Lycanroc-Midnight,251,held_item,7,Sitrus Berry,0.2%,,,,,,,,
Lycanroc-Midnight,251,held_item,8,Leftovers,0.2%,,,,,,,,
Lycanroc-Midnight,251,held_item,9,Colbur Berry,0.1%,,,,,,,,
Lycanroc-Midnight,251,teammate,1,Garchomp,,,,,,,,,
Lycanroc-Midnight,251,teammate,2,Absol,,,,,,,,,
Lycanroc-Midnight,251,teammate,3,Dragonite,,,,,,,,,
Lycanroc-Midnight,251,teammate,4,Skarmory,,,,,,,,,
Lycanroc-Midnight,251,teammate,5,Toxtricity,,,,,,,,,
Lycanroc-Midnight,251,teammate,6,Starmie,,,,,,,,,
Lycanroc-Midnight,251,teammate,7,Sylveon,,,,,,,,,
Lycanroc-Midnight,251,teammate,8,Golisopod,,,,,,,,,
Lycanroc-Midnight,251,teammate,9,Lucario,,,,,,,,,
Lycanroc-Midnight,251,teammate,10,Greninja,,,,,,,,,
Lycanroc-Midnight,251,stat_alignment,1,Adamant,48.8%,Attack,Sp. Atk,,,,,,
Lycanroc-Midnight,251,stat_alignment,2,Jolly,38.7%,Speed,Sp. Atk,,,,,,
Lycanroc-Midnight,251,stat_alignment,3,Careful,5.2%,Sp. Def,Sp. Atk,,,,,,
Lycanroc-Midnight,251,stat_alignment,4,Lonely,4.2%,Attack,Defense,,,,,,
Lycanroc-Midnight,251,stat_alignment,5,Lax,1.8%,Defense,Sp. Def,,,,,,
Lycanroc-Midnight,251,stat_alignment,6,Hasty,0.5%,Speed,Defense,,,,,,
Lycanroc-Midnight,251,stat_alignment,7,Impish,0.5%,Defense,Sp. Atk,,,,,,
Lycanroc-Midnight,251,stat_alignment,8,Naughty,0.2%,Attack,Sp. Def,,,,,,
Lycanroc-Midnight,251,stat_alignment,9,Brave,0.1%,Attack,Speed,,,,,,
Lycanroc-Midnight,251,stat_alignment,10,Bold,0.1%,Defense,Attack,,,,,,
Lycanroc-Midnight,251,stat_points,1,,47.2%,,,2,32,0,0,0,32
Lycanroc-Midnight,251,stat_points,2,,7.0%,,,1,32,0,0,1,32
Lycanroc-Midnight,251,stat_points,3,,5.9%,,,31,25,0,0,5,5
Lycanroc-Midnight,251,stat_points,4,,5.8%,,,0,32,0,0,2,32
Lycanroc-Midnight,251,stat_points,5,,5.4%,,,1,32,1,0,0,32
Lycanroc-Midnight,251,stat_points,6,,4.6%,,,27,32,0,0,0,7
Lycanroc-Midnight,251,stat_points,7,,4.6%,,,32,29,5,0,0,0
Lycanroc-Midnight,251,stat_points,8,,4.3%,,,32,32,0,0,0,2
Lycanroc-Midnight,251,stat_points,9,,2.0%,,,32,2,0,0,0,32
Lycanroc-Midnight,251,stat_points,10,,1.8%,,,0,32,0,0,0,32
Lycanroc-Midnight,251,ability,1,No Guard,74.0%,,,,,,,,
Lycanroc-Midnight,251,ability,2,Vital Spirit,23.9%,,,,,,,,
Lycanroc-Midnight,251,ability,3,Keen Eye,2.1%,,,,,,,,
