pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Meowstic,192,move,1,Reflect,47.8%,,,,,,,,
Meowstic,192,move,2,Light Screen,42.7%,,,,,,,,
Meowstic,192,move,3,Psychic,41.8%,,,,,,,,
Meowstic,192,move,4,Alluring Voice,33.5%,,,,,,,,
Meowstic,192,move,5,Yawn,30.1%,,,,,,,,
Meowstic,192,move,6,Thunderbolt,21.3%,,,,,,,,
Meowstic,192,move,7,Nasty Plot,15.6%,,,,,,,,
Meowstic,192,move,8,Calm Mind,14.7%,,,,,,,,
Meowstic,192,move,9,Thunder Wave,13.5%,,,,,,,,
Meowstic,192,move,10,Baton Pass,12.6%,,,,,,,,
Meowstic,192,held_item,1,Light Clay,35.9%,,,,,,,,
Meowstic,192,held_item,2,Meowsticite,34.8%,,,,,,,,
Meowstic,192,held_item,3,Focus Sash,9.0%,,,,,,,,
Meowstic,192,held_item,4,Sitrus Berry,3.1%,,,,,,,,
Meowstic,192,held_item,5,Leftovers,9.9%,,,,,,,,
Meowstic,192,held_item,6,Choice Scarf,2.5%,,,,,,,,
Meowstic,192,held_item,7,Bright Powder,1.4%,,,,,,,,
Meowstic,192,held_item,8,Mental Herb,1.4%,,,,,,,,
Meowstic,192,held_item,9,Lum Berry,0.8%,,,,,,,,
Meowstic,192,held_item,10,Iron Ball,0.8%,,,,,,,,
Meowstic,192,teammate,1,Garchomp,,,,,,,,,
Meowstic,192,teammate,2,Meowscarada,,,,,,,,,
Meowstic,192,teammate,3,Maushold,,,,,,,,,
Meowstic,192,teammate,4,Blaziken,,,,,,,,,
Meowstic,192,teammate,5,Archaludon,,,,,,,,,
Meowstic,192,teammate,6,Charizard,,,,,,,,,
Meowstic,192,teammate,7,Mimikyu,,,,,,,,,
Meowstic,192,teammate,8,Metagross,,,,,,,,,
Meowstic,192,teammate,9,Gyarados,,,,,,,,,
Meowstic,192,teammate,10,Primarina,,,,,,,,,
Meowstic,192,stat_alignment,1,Timid,30.0%,Speed,Attack,,,,,,
Meowstic,192,stat_alignment,2,Bold,26.1%,Defense,Attack,,,,,,
Meowstic,192,stat_alignment,3,Modest,21.2%,Sp. Atk,Attack,,,,,,
Meowstic,192,stat_alignment,4,Calm,14.3%,Sp. Def,Attack,,,,,,
Meowstic,192,stat_alignment,5,Hasty,2.7%,Speed,Defense,,,,,,
Meowstic,192,stat_alignment,6,Adamant,0.8%,Attack,Sp. Atk,,,,,,
Meowstic,192,stat_alignment,7,Sassy,0.8%,Sp. Def,Speed,,,,,,
Meowstic,192,stat_alignment,8,Quiet,0.8%,Sp. Atk,Speed,,,,,,
Meowstic,192,stat_alignment,9,Mild,0.7%,Sp. Atk,Defense,,,,,,
Meowstic,192,stat_alignment,10,Relaxed,0.6%,Defense,Speed,,,,,,
Meowstic,192,stat_points,1,,19.0%,,,2,0,0,32,0,32
Meowstic,192,stat_points,2,,7.8%,,,32,0,32,0,2,0
Meowstic,192,stat_points,3,,4.8%,,,0,0,0,32,2,32
Meowstic,192,stat_points,4,,4.1%,,,2,0,32,0,32,0
Meowstic,192,stat_points,5,,4.1%,,,32,0,2,0,32,0
Meowstic,192,stat_points,6,,2.1%,,,32,0,0,2,0,32
Meowstic,192,stat_points,7,,2.1%,,,32,0,25,0,9,0
Meowstic,192,stat_points,8,,2.0%,,,32,0,14,0,20,0
Meowstic,192,stat_points,9,,1.6%,,,32,0,24,0,10,0
Meowstic,192,stat_points,10,,1.4%,,,32,0,0,32,0,2
Meowstic,192,ability,1,Prankster,86.5%,,,,,,,,
Meowstic,192,ability,2,Infiltrator,10.0%,,,,,,,,
Meowstic,192,ability,3,Keen Eye,3.5%,,,,,,,,
