pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mudsdale,164,move,1,Earthquake,84.0%,,,,,,,,
Mudsdale,164,move,2,Body Press,79.8%,,,,,,,,
Mudsdale,164,move,3,Stealth Rock,55.2%,,,,,,,,
Mudsdale,164,move,4,Roar,54.3%,,,,,,,,
Mudsdale,164,move,5,Fissure,28.6%,,,,,,,,
Mudsdale,164,move,6,Rest,22.3%,,,,,,,,
Mudsdale,164,move,7,Smack Down,18.7%,,,,,,,,
Mudsdale,164,move,8,Stone Edge,15.1%,,,,,,,,
Mudsdale,164,move,9,Heavy Slam,11.3%,,,,,,,,
Mudsdale,164,move,10,Iron Defense,6.1%,,,,,,,,
Mudsdale,164,held_item,1,Leftovers,33.5%,,,,,,,,
Mudsdale,164,held_item,2,Sitrus Berry,28.8%,,,,,,,,
Mudsdale,164,held_item,3,Chesto Berry,14.0%,,,,,,,,
Mudsdale,164,held_item,4,Rocky Helmet,12.5%,,,,,,,,
Mudsdale,164,held_item,5,Quick Claw,8.1%,,,,,,,,
Mudsdale,164,held_item,6,Lum Berry,2.3%,,,,,,,,
Mudsdale,164,held_item,7,Bright Powder,0.4%,,,,,,,,
Mudsdale,164,held_item,8,Focus Sash,0.2%,,,,,,,,
Mudsdale,164,held_item,9,Expert Belt,0.1%,,,,,,,,
Mudsdale,164,held_item,10,Life Orb,0.0%,,,,,,,,
Mudsdale,164,teammate,1,Salamence,,,,,,,,,
Mudsdale,164,teammate,2,Primarina,,,,,,,,,
Mudsdale,164,teammate,3,Golisopod,,,,,,,,,
Mudsdale,164,teammate,4,Lucario,,,,,,,,,
Mudsdale,164,teammate,5,Meowscarada,,,,,,,,,
Mudsdale,164,teammate,6,Baxcalibur,,,,,,,,,
Mudsdale,164,teammate,7,Archaludon,,,,,,,,,
Mudsdale,164,teammate,8,Gholdengo,,,,,,,,,
Mudsdale,164,teammate,9,Delphox,,,,,,,,,
Mudsdale,164,teammate,10,Dragonite,,,,,,,,,
Mudsdale,164,stat_alignment,1,Impish,63.7%,Defense,Sp. Atk,,,,,,
Mudsdale,164,stat_alignment,2,Careful,21.8%,Sp. Def,Sp. Atk,,,,,,
Mudsdale,164,stat_alignment,3,Adamant,8.1%,Attack,Sp. Atk,,,,,,
Mudsdale,164,stat_alignment,4,Sassy,3.2%,Sp. Def,Speed,,,,,,
Mudsdale,164,stat_alignment,5,Relaxed,2.6%,Defense,Speed,,,,,,
Mudsdale,164,stat_alignment,6,Brave,0.5%,Attack,Speed,,,,,,
Mudsdale,164,stat_alignment,7,Bold,0.2%,Defense,Attack,,,,,,
Mudsdale,164,stat_alignment,8,Hasty,0.0%,Speed,Defense,,,,,,
Mudsdale,164,stat_points,1,,28.7%,,,32,0,32,0,2,0
Mudsdale,164,stat_points,2,,13.7%,,,32,2,32,0,0,0
Mudsdale,164,stat_points,3,,11.0%,,,32,2,0,0,32,0
Mudsdale,164,stat_points,4,,10.6%,,,32,0,2,0,32,0
Mudsdale,164,stat_points,5,,4.4%,,,32,0,32,0,0,2
Mudsdale,164,stat_points,6,,2.7%,,,32,15,3,0,16,0
Mudsdale,164,stat_points,7,,2.6%,,,2,0,32,0,32,0
Mudsdale,164,stat_points,8,,2.3%,,,32,0,0,0,32,0
Mudsdale,164,stat_points,9,,2.3%,,,32,0,20,0,14,0
Mudsdale,164,stat_points,10,,2.0%,,,32,0,29,0,5,0
Mudsdale,164,ability,1,Stamina,99.4%,,,,,,,,
Mudsdale,164,ability,2,Own Tempo,0.3%,,,,,,,,
Mudsdale,164,ability,3,Inner Focus,0.3%,,,,,,,,
