pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Oranguru,250,move,1,Psychic,83.0%,,,,,,,,
Oranguru,250,move,2,Trick Room,45.1%,,,,,,,,
Oranguru,250,move,3,Foul Play,39.7%,,,,,,,,
Oranguru,250,move,4,Shadow Ball,37.6%,,,,,,,,
Oranguru,250,move,5,Thunderbolt,28.1%,,,,,,,,
Oranguru,250,move,6,Yawn,22.9%,,,,,,,,
Oranguru,250,move,7,Instruct,17.3%,,,,,,,,
Oranguru,250,move,8,Taunt,15.8%,,,,,,,,
Oranguru,250,move,9,Endeavor,14.9%,,,,,,,,
Oranguru,250,move,10,Reflect,10.1%,,,,,,,,
Oranguru,250,held_item,1,Life Orb,27.8%,,,,,,,,
Oranguru,250,held_item,2,Red Card,26.7%,,,,,,,,
Oranguru,250,held_item,3,Sitrus Berry,9.5%,,,,,,,,
Oranguru,250,held_item,4,Light Clay,6.4%,,,,,,,,
Oranguru,250,held_item,5,Expert Belt,4.7%,,,,,,,,
Oranguru,250,held_item,6,Leftovers,4.5%,,,,,,,,
Oranguru,250,held_item,7,Wise Glasses,3.4%,,,,,,,,
Oranguru,250,held_item,8,Mental Herb,2.4%,,,,,,,,
Oranguru,250,held_item,9,Terrain Extender,2.1%,,,,,,,,
Oranguru,250,held_item,10,Rocky Helmet,2.1%,,,,,,,,
Oranguru,250,teammate,1,Basculegion,,,,,,,,,
Oranguru,250,teammate,2,Infernape,,,,,,,,,
Oranguru,250,teammate,3,Armarouge,,,,,,,,,
Oranguru,250,teammate,4,Kangaskhan,,,,,,,,,
Oranguru,250,teammate,5,Charizard,,,,,,,,,
Oranguru,250,teammate,6,Avalugg-Hisui,,,,,,,,,
Oranguru,250,teammate,7,Appletun,,,,,,,,,
Oranguru,250,teammate,8,Steelix,,,,,,,,,
Oranguru,250,teammate,9,Typhlosion-Hisui,,,,,,,,,
Oranguru,250,teammate,10,Weavile,,,,,,,,,
Oranguru,250,stat_alignment,1,Bold,48.2%,Defense,Attack,,,,,,
Oranguru,250,stat_alignment,2,Relaxed,21.1%,Defense,Speed,,,,,,
Oranguru,250,stat_alignment,3,Modest,15.0%,Sp. Atk,Attack,,,,,,
Oranguru,250,stat_alignment,4,Calm,6.8%,Sp. Def,Attack,,,,,,
Oranguru,250,stat_alignment,5,Timid,3.2%,Speed,Attack,,,,,,
Oranguru,250,stat_alignment,6,Quiet,2.9%,Sp. Atk,Speed,,,,,,
Oranguru,250,stat_alignment,7,Sassy,1.5%,Sp. Def,Speed,,,,,,
Oranguru,250,stat_alignment,8,Brave,0.6%,Attack,Speed,,,,,,
Oranguru,250,stat_alignment,9,Adamant,0.3%,Attack,Sp. Atk,,,,,,
Oranguru,250,stat_alignment,10,Gentle,0.2%,Sp. Def,Defense,,,,,,
Oranguru,250,stat_points,1,,23.6%,,,32,0,32,0,1,1
Oranguru,250,stat_points,2,,13.5%,,,32,0,32,2,0,0
Oranguru,250,stat_points,3,,12.5%,,,32,0,32,1,0,0
Oranguru,250,stat_points,4,,8.8%,,,32,0,32,0,2,0
Oranguru,250,stat_points,5,,4.6%,,,2,0,32,0,32,0
Oranguru,250,stat_points,6,,4.6%,,,26,0,0,32,0,8
Oranguru,250,stat_points,7,,4.0%,,,32,0,2,32,0,0
Oranguru,250,stat_points,8,,2.6%,,,0,0,32,32,2,0
Oranguru,250,stat_points,9,,2.5%,,,2,0,0,32,32,0
Oranguru,250,stat_points,10,,2.4%,,,2,0,32,0,0,32
Oranguru,250,ability,1,Inner Focus,77.3%,,,,,,,,
Oranguru,250,ability,2,Telepathy,20.7%,,,,,,,,
Oranguru,250,ability,3,Symbiosis,2.1%,,,,,,,,
