pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pinsir,168,move,1,Quick Attack,80.2%,,,,,,,,
Pinsir,168,move,2,Swords Dance,56.9%,,,,,,,,
Pinsir,168,move,3,Storm Throw,54.3%,,,,,,,,
Pinsir,168,move,4,Body Slam,46.7%,,,,,,,,
Pinsir,168,move,5,Thrash,40.9%,,,,,,,,
Pinsir,168,move,6,Earthquake,35.0%,,,,,,,,
Pinsir,168,move,7,Guillotine,20.1%,,,,,,,,
Pinsir,168,move,8,Feint,13.7%,,,,,,,,
Pinsir,168,move,9,Bulk Up,13.0%,,,,,,,,
Pinsir,168,move,10,Close Combat,6.8%,,,,,,,,
Pinsir,168,held_item,1,Pinsirite,94.4%,,,,,,,,
Pinsir,168,held_item,2,Choice Scarf,2.1%,,,,,,,,
Pinsir,168,held_item,3,Focus Sash,1.0%,,,,,,,,
Pinsir,168,held_item,4,Leftovers,0.7%,,,,,,,,
Pinsir,168,held_item,5,White Herb,0.3%,,,,,,,,
Pinsir,168,held_item,6,Sitrus Berry,0.2%,,,,,,,,
Pinsir,168,held_item,7,Leek,0.1%,,,,,,,,
Pinsir,168,held_item,8,Rocky Helmet,0.1%,,,,,,,,
Pinsir,168,held_item,9,Light Ball,0.1%,,,,,,,,
Pinsir,168,held_item,10,Heracronite,0.1%,,,,,,,,
Pinsir,168,teammate,1,Araquanid,,,,,,,,,
Pinsir,168,teammate,2,Kleavor,,,,,,,,,
Pinsir,168,teammate,3,Golisopod,,,,,,,,,
Pinsir,168,teammate,4,Volcarona,,,,,,,,,
Pinsir,168,teammate,5,Forretress,,,,,,,,,
Pinsir,168,teammate,6,Scolipede,,,,,,,,,
Pinsir,168,teammate,7,Vivillon-Fancy,,,,,,,,,
Pinsir,168,teammate,8,Garchomp,,,,,,,,,
Pinsir,168,teammate,9,Snorlax,,,,,,,,,
Pinsir,168,teammate,10,Primarina,,,,,,,,,
Pinsir,168,stat_alignment,1,Jolly,78.6%,Speed,Sp. Atk,,,,,,
Pinsir,168,stat_alignment,2,Adamant,16.9%,Attack,Sp. Atk,,,,,,
Pinsir,168,stat_alignment,3,Impish,2.4%,Defense,Sp. Atk,,,,,,
Pinsir,168,stat_alignment,4,Careful,1.4%,Sp. Def,Sp. Atk,,,,,,
Pinsir,168,stat_alignment,5,Brave,0.4%,Attack,Speed,,,,,,
Pinsir,168,stat_alignment,6,Timid,0.2%,Speed,Attack,,,,,,
Pinsir,168,stat_alignment,7,Relaxed,0.1%,Defense,Speed,,,,,,
Pinsir,168,stat_alignment,8,Naive,0.0%,Speed,Sp. Def,,,,,,
Pinsir,168,stat_alignment,9,Lax,0.0%,Defense,Sp. Def,,,,,,
Pinsir,168,stat_points,1,,36.0%,,,1,32,1,0,0,32
Pinsir,168,stat_points,2,,19.0%,,,2,32,0,0,0,32
Pinsir,168,stat_points,3,,9.3%,,,1,32,0,0,1,32
Pinsir,168,stat_points,4,,5.2%,,,0,32,2,0,0,32
Pinsir,168,stat_points,5,,4.9%,,,32,32,0,0,0,2
Pinsir,168,stat_points,6,,2.5%,,,1,29,4,0,0,32
Pinsir,168,stat_points,7,,2.4%,,,0,32,0,0,2,32
Pinsir,168,stat_points,8,,2.2%,,,3,31,0,0,0,32
Pinsir,168,stat_points,9,,1.4%,,,0,20,14,0,0,32
Pinsir,168,stat_points,10,,1.1%,,,32,0,2,0,0,32
Pinsir,168,ability,1,Moxie,55.2%,,,,,,,,
Pinsir,168,ability,2,Hyper Cutter,26.6%,,,,,,,,
Pinsir,168,ability,3,Mold Breaker,18.2%,,,,,,,,
