pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Samurott,248,move,1,Ice Beam,76.4%,,,,,,,,
Samurott,248,move,2,Vacuum Wave,55.3%,,,,,,,,
Samurott,248,move,3,Surf,38.7%,,,,,,,,
Samurott,248,move,4,Encore,37.7%,,,,,,,,
Samurott,248,move,5,Grass Knot,12.6%,,,,,,,,
Samurott,248,move,6,Hydro Pump,33.4%,,,,,,,,
Samurott,248,move,7,Aqua Jet,27.7%,,,,,,,,
Samurott,248,move,8,Taunt,4.6%,,,,,,,,
Samurott,248,move,9,Blizzard,3.1%,,,,,,,,
Samurott,248,move,10,Flip Turn,2.6%,,,,,,,,
Samurott,248,held_item,1,Expert Belt,28.8%,,,,,,,,
Samurott,248,held_item,2,Sitrus Berry,33.5%,,,,,,,,
Samurott,248,held_item,3,Life Orb,11.7%,,,,,,,,
Samurott,248,held_item,4,Leftovers,9.7%,,,,,,,,
Samurott,248,held_item,5,Focus Sash,9.7%,,,,,,,,
Samurott,248,held_item,6,Unknown Item 276,6.1%,,,,,,,,
Samurott,248,held_item,7,Choice Scarf,0.5%,,,,,,,,
Samurott,248,teammate,1,Garchomp,,,,,,,,,
Samurott,248,teammate,2,Mimikyu,,,,,,,,,
Samurott,248,teammate,3,Tyranitar,,,,,,,,,
Samurott,248,teammate,4,Metagross,,,,,,,,,
Samurott,248,teammate,5,Rillaboom,,,,,,,,,
Samurott,248,teammate,6,Paldean Tauros Blaze Breed,,,,,,,,,
Samurott,248,teammate,7,Aggron,,,,,,,,,
Samurott,248,teammate,8,Raichu,,,,,,,,,
Samurott,248,teammate,9,Gyarados,,,,,,,,,
Samurott,248,teammate,10,Blaziken,,,,,,,,,
Samurott,248,stat_alignment,1,Modest,59.3%,Sp. Atk,Attack,,,,,,
Samurott,248,stat_alignment,2,Quiet,6.6%,Sp. Atk,Speed,,,,,,
Samurott,248,stat_alignment,3,Jolly,1.5%,Speed,Sp. Atk,,,,,,
Samurott,248,stat_alignment,4,Relaxed,1.5%,Defense,Speed,,,,,,
Samurott,248,stat_alignment,5,Timid,0.5%,Speed,Attack,,,,,,
Samurott,248,stat_alignment,6,Sassy,0.5%,Sp. Def,Speed,,,,,,
Samurott,248,stat_points,1,,14.9%,,,31,0,0,32,0,3
Samurott,248,stat_points,2,,14.8%,,,31,0,2,32,0,1
Samurott,248,stat_points,3,,8.7%,,,32,0,2,32,0,0
Samurott,248,stat_points,4,,7.1%,,,1,0,0,32,1,32
Samurott,248,stat_points,5,,6.1%,,,4,3,6,32,21,0
Samurott,248,stat_points,6,,4.6%,,,31,0,3,32,0,0
Samurott,248,stat_points,7,,4.1%,,,32,0,0,32,2,0
Samurott,248,stat_points,8,,3.6%,,,9,0,13,32,6,6
Samurott,248,stat_points,9,,1.5%,,,2,32,0,0,0,32
Samurott,248,stat_points,10,,1.5%,,,32,0,32,0,2,0
Samurott,248,ability,1,Shell Armor,75.7%,,,,,,,,
Samurott,248,ability,2,Torrent,24.3%,,,,,,,,
