pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Toxicroak,231,move,1,Close Combat,72.8%,,,,,,,,
Toxicroak,231,move,2,Gunk Shot,49.1%,,,,,,,,
Toxicroak,231,move,3,Sucker Punch,47.6%,,,,,,,,
Toxicroak,231,move,4,Poison Jab,39.5%,,,,,,,,
Toxicroak,231,move,5,Ice Punch,22.8%,,,,,,,,
Toxicroak,231,move,6,Earthquake,18.7%,,,,,,,,
Toxicroak,231,move,7,Drain Punch,18.1%,,,,,,,,
Toxicroak,231,move,8,Counter,15.3%,,,,,,,,
Toxicroak,231,move,9,Fake Out,12.3%,,,,,,,,
Toxicroak,231,move,10,Knock Off,10.8%,,,,,,,,
Toxicroak,231,held_item,1,Focus Sash,44.6%,,,,,,,,
Toxicroak,231,held_item,2,Leftovers,11.8%,,,,,,,,
Toxicroak,231,held_item,3,Choice Scarf,10.3%,,,,,,,,
Toxicroak,231,held_item,4,Air Balloon,8.3%,,,,,,,,
Toxicroak,231,held_item,5,Life Orb,7.5%,,,,,,,,
Toxicroak,231,held_item,6,Expert Belt,3.1%,,,,,,,,
Toxicroak,231,held_item,7,Sitrus Berry,2.9%,,,,,,,,
Toxicroak,231,held_item,8,Shuca Berry,1.8%,,,,,,,,
Toxicroak,231,held_item,9,Lum Berry,1.8%,,,,,,,,
Toxicroak,231,held_item,10,Quick Claw,1.7%,,,,,,,,
Toxicroak,231,teammate,1,Garchomp,,,,,,,,,
Toxicroak,231,teammate,2,Pelipper,,,,,,,,,
Toxicroak,231,teammate,3,Salamence,,,,,,,,,
Toxicroak,231,teammate,4,Rillaboom,,,,,,,,,
Toxicroak,231,teammate,5,Golisopod,,,,,,,,,
Toxicroak,231,teammate,6,Primarina,,,,,,,,,
Toxicroak,231,teammate,7,Swampert,,,,,,,,,
Toxicroak,231,teammate,8,Empoleon,,,,,,,,,
Toxicroak,231,teammate,9,Lucario,,,,,,,,,
Toxicroak,231,teammate,10,Archaludon,,,,,,,,,
Toxicroak,231,stat_alignment,1,Adamant,58.9%,Attack,Sp. Atk,,,,,,
Toxicroak,231,stat_alignment,2,Jolly,23.5%,Speed,Sp. Atk,,,,,,
Toxicroak,231,stat_alignment,3,Careful,7.2%,Sp. Def,Sp. Atk,,,,,,
Toxicroak,231,stat_alignment,4,Naive,2.0%,Speed,Sp. Def,,,,,,
Toxicroak,231,stat_alignment,5,Impish,2.0%,Defense,Sp. Atk,,,,,,
Toxicroak,231,stat_alignment,6,Naughty,2.0%,Attack,Sp. Def,,,,,,
Toxicroak,231,stat_alignment,7,Lonely,1.0%,Attack,Defense,,,,,,
Toxicroak,231,stat_alignment,8,Modest,1.0%,Sp. Atk,Attack,,,,,,
Toxicroak,231,stat_alignment,9,Timid,0.6%,Speed,Attack,,,,,,
Toxicroak,231,stat_alignment,10,Brave,0.5%,Attack,Speed,,,,,,
Toxicroak,231,stat_points,1,,33.6%,,,2,32,0,0,0,32
Toxicroak,231,stat_points,2,,10.1%,,,1,32,1,0,0,32
Toxicroak,231,stat_points,3,,5.1%,,,1,32,0,0,1,32
Toxicroak,231,stat_points,4,,4.9%,,,0,32,0,0,0,32
Toxicroak,231,stat_points,5,,4.8%,,,0,32,0,0,2,32
Toxicroak,231,stat_points,6,,4.1%,,,32,32,0,0,0,2
Toxicroak,231,stat_points,7,,3.2%,,,19,0,20,0,25,2
Toxicroak,231,stat_points,8,,1.7%,,,0,32,2,0,0,32
Toxicroak,231,stat_points,9,,1.2%,,,32,32,2,0,0,0
Toxicroak,231,stat_points,10,,1.1%,,,1,32,0,0,5,28
Toxicroak,231,ability,1,Dry Skin,79.3%,,,,,,,,
Toxicroak,231,ability,2,Poison Touch,19.5%,,,,,,,,
Toxicroak,231,ability,3,Anticipation,1.3%,,,,,,,,
