pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Zoroark,169,move,1,Night Daze,87.4%,,,,,,,,
Zoroark,169,move,2,Flamethrower,57.1%,,,,,,,,
Zoroark,169,move,3,Sludge Bomb,44.3%,,,,,,,,
Zoroark,169,move,4,Counter,26.7%,,,,,,,,
Zoroark,169,move,5,Sucker Punch,24.3%,,,,,,,,
Zoroark,169,move,6,Encore,19.8%,,,,,,,,
Zoroark,169,move,7,Psychic,15.2%,,,,,,,,
Zoroark,169,move,8,Focus Blast,14.9%,,,,,,,,
Zoroark,169,move,9,Taunt,13.0%,,,,,,,,
Zoroark,169,move,10,Trick,12.8%,,,,,,,,
Zoroark,169,held_item,1,Focus Sash,56.7%,,,,,,,,
Zoroark,169,held_item,2,Choice Scarf,22.5%,,,,,,,,
Zoroark,169,held_item,3,Life Orb,8.1%,,,,,,,,
Zoroark,169,held_item,4,Black Glasses,2.4%,,,,,,,,
Zoroark,169,held_item,5,Expert Belt,1.5%,,,,,,,,
Zoroark,169,held_item,6,Bright Powder,1.4%,,,,,,,,
Zoroark,169,held_item,7,Red Card,1.0%,,,,,,,,
Zoroark,169,held_item,8,Sitrus Berry,0.8%,,,,,,,,
Zoroark,169,held_item,9,Air Balloon,0.8%,,,,,,,,
Zoroark,169,held_item,10,Wide Lens,0.7%,,,,,,,,
Zoroark,169,teammate,1,Garchomp,,,,,,,,,
Zoroark,169,teammate,2,Golisopod,,,,,,,,,
Zoroark,169,teammate,3,Salamence,,,,,,,,,
Zoroark,169,teammate,4,Lucario,,,,,,,,,
Zoroark,169,teammate,5,Primarina,,,,,,,,,
Zoroark,169,teammate,6,Charizard,,,,,,,,,
Zoroark,169,teammate,7,Baxcalibur,,,,,,,,,
Zoroark,169,teammate,8,Rillaboom,,,,,,,,,
Zoroark,169,teammate,9,Meowscarada,,,,,,,,,
Zoroark,169,teammate,10,Gengar,,,,,,,,,
Zoroark,169,stat_alignment,1,Timid,37.2%,Speed,Attack,,,,,,
Zoroark,169,stat_alignment,2,Modest,33.8%,Sp. Atk,Attack,,,,,,
Zoroark,169,stat_alignment,3,Mild,10.3%,Sp. Atk,Defense,,,,,,
Zoroark,169,stat_alignment,4,Hasty,6.6%,Speed,Defense,,,,,,
Zoroark,169,stat_alignment,5,Naive,4.3%,Speed,Sp. Def,,,,,,
Zoroark,169,stat_alignment,6,Rash,3.7%,Sp. Atk,Sp. Def,,,,,,
Zoroark,169,stat_alignment,7,Jolly,1.5%,Speed,Sp. Atk,,,,,,
Zoroark,169,stat_alignment,8,Quiet,1.0%,Sp. Atk,Speed,,,,,,
Zoroark,169,stat_alignment,9,Adamant,0.5%,Attack,Sp. Atk,,,,,,
Zoroark,169,stat_alignment,10,Bold,0.4%,Defense,Attack,,,,,,
Zoroark,169,stat_points,1,,53.0%,,,2,0,0,32,0,32
Zoroark,169,stat_points,2,,9.3%,,,0,2,0,32,0,32
Zoroark,169,stat_points,3,,8.2%,,,0,0,2,32,0,32
Zoroark,169,stat_points,4,,2.8%,,,0,0,0,32,2,32
Zoroark,169,stat_points,5,,2.8%,,,0,0,0,32,0,32
Zoroark,169,stat_points,6,,2.1%,,,7,0,0,32,0,27
Zoroark,169,stat_points,7,,1.9%,,,8,0,7,32,1,18
Zoroark,169,stat_points,8,,1.8%,,,32,0,0,32,0,2
Zoroark,169,stat_points,9,,1.2%,,,0,5,0,32,0,29
Zoroark,169,stat_points,10,,1.1%,,,0,15,0,32,0,19
Zoroark,169,ability,1,Illusion,100.0%,,,,,,,,
